complex_name,protein_path,ligand_description,protein_sequence
CID6539985,receptor.pdb,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,
CID9902100,receptor.pdb,CC(=O)Nc1ccc([C@H](C)C(=O)Nc2ncc(C(C)C)s2)cc1,
CID11559235,receptor.pdb,CN(C)c1ccnc2sc3c(=O)n(N4CCCCCC4)cnc3c12,
CID46901383,receptor.pdb,NC(=O)c1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCNCC2)c1,
CID78007,receptor.pdb,CCNC(=O)c1cccnc1,
CID115227,receptor.pdb,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1.Cl,
CID135409535,receptor.pdb,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1.Cl.Cl,
CID24946280,receptor.pdb,CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,
CID26216,receptor.pdb,CCC(=O)N(c1ccccn1)C(C)CN1CCCCC1,
CID71405,receptor.pdb,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1.Cl.Cl,
CID4463,receptor.pdb,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,
CID15443,receptor.pdb,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,
CID54677971,receptor.pdb,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,
CID4098,receptor.pdb,CN(C)CCN(Cc1cccs1)c1ccccn1,
CID10280735,receptor.pdb,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,
CID107867,receptor.pdb,CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,
CID4848,receptor.pdb,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,
CID11667893,receptor.pdb,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,
CID7066,receptor.pdb,CN(C)CCN(Cc1ccsc1)c1ccccn1,
CID56649450,receptor.pdb,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,
CID68748835,receptor.pdb,C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,
CID2519269,receptor.pdb,Cc1cnc(NC(=O)c2cc(S(=O)(=O)N(C)C)ccc2N2CCCC2)s1,
CID56971,receptor.pdb,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,
CID5497,receptor.pdb,CCN(CC)C(=O)c1cccnc1,
CID4593,receptor.pdb,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1,
CID6450813,receptor.pdb,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,
CID10074640,receptor.pdb,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,
CID8667,receptor.pdb,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,
CID100472,receptor.pdb,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,
CID25161177,receptor.pdb,C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,
CID491941,receptor.pdb,Cc1nc(N(C)C(=O)Cc2ccc(-c3ccccn3)cc2)sc1S(N)(=O)=O,
CID135400184,receptor.pdb,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,
CID9842556,receptor.pdb,O=c1c2cccnc2n(-c2cccc([N+](=O)[O-])c2)c(=O)n1Cc1ccncc1,
CID219990,receptor.pdb,O=C(Nc1ccccn1)c1ccccc1,
CID682329,receptor.pdb,O=C(NC(=S)Nc1cccnc1)c1ccccc1,
CID14998470,receptor.pdb,CCn1c(=O)c2cc(C(N)=O)c(N)nc2n(C2CC2)c1=O,
CID46209426,receptor.pdb,O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1,
CID74463,receptor.pdb,O=C(Nc1ccccc1)c1cccnc1,
CID569547,receptor.pdb,O=C(Nc1nccs1)c1ccccc1,
CID564741,receptor.pdb,O=C(NCc1ccncc1)C(=O)Nc1nccs1,
