complex_name,protein_path,ligand_description,protein_sequence
CID556817,receptor.pdb,Cn1c(=O)[nH]c(=O)c2nccnc21,
CID120526,receptor.pdb,O=C(NCN1CCCCC1)c1cnccn1,
CID1282529,receptor.pdb,NC(=O)c1cncc(Cl)n1,
CID44307093,receptor.pdb,NC(=O)c1cn2c(Br)cncc2n1,
CID9508824,receptor.pdb,CCCCN(C(=O)c1cnccn1)c1c(N)n(CCC)c(=O)[nH]c1=O,
CID24687524,receptor.pdb,CCCCn1c(N)c(N(CC(C)C)C(=O)c2cnccn2)c(=O)[nH]c1=O,
CID135518616,receptor.pdb,CCSc1nc2nccnc2c(=O)[nH]1,
CID11581093,receptor.pdb,CCCCCCN=C(N)NC(=O)c1nc(Cl)c(N)nc1N,
CID12674624,receptor.pdb,NC(=O)c1cn2ccncc2n1,
CID919948,receptor.pdb,O=c1[nH]c(=S)[nH]c2nccnc12,
CID159466,receptor.pdb,O=C(Nc1nn[nH]n1)c1cncc(N2CCCC2)n1,
CID124704,receptor.pdb,NC(N)=NC(=O)c1cnccn1,
CID120524,receptor.pdb,CCN(CC)CNC(=O)c1cnccn1,
CID71755948,receptor.pdb,NC(=O)c1cnc(C2CC2)[nH]1,
CID1051510,receptor.pdb,O=c1c2cncn2c(=O)c2cncn12,
CID176480,receptor.pdb,O=c1[nH]c2nccn2c2nc[nH]c12,
CID124218,receptor.pdb,O=c1c2[nH]cnc2nc2ncccn12,
CID193326,receptor.pdb,CCCN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,
CID822308,receptor.pdb,Cc1nc2c(=O)[nH]c(=S)n(C)c2nc1C,
CID1233967,receptor.pdb,CCN1CCN(CNC(=O)c2cnccn2)CC1,
CID135422471,receptor.pdb,Cc1nc2nc[nH]c(=O)c2nc1C,
CID169438676,receptor.pdb,O=c1ccn2c(=O)c3[nH]cnc3nc2[nH]1,
CID10330676,receptor.pdb,CCCn1c(=O)[nH]c(=O)c2c1ncn2C,
CID10584991,receptor.pdb,CC(C)Cn1c(=O)[nH]c(=O)c2nccnc21,
CID12318905,receptor.pdb,C=CCn1cnc2c1c(=O)[nH]c(=O)n2CC=C,
CID14978314,receptor.pdb,CCCn1c(=O)[nH]c2ncn(C)c2c1=O,
CID16727655,receptor.pdb,CN(C)C=NC(=O)c1cnccn1,
CID19008965,receptor.pdb,CCCn1cnc2[nH]c(=O)[nH]c(=O)c21,
CID20334037,receptor.pdb,CCCNc1nc(N)c(C(=O)N=C(N)N)nc1Cl,
CID20334043,receptor.pdb,C=CCNc1nc(N)c(C(=O)N=C(N)N)nc1Cl,
CID21419005,receptor.pdb,CNc1cnc(C(N)=O)cn1,
CID44339733,receptor.pdb,NC(=O)c1cnc(-c2ncc[nH]2)[nH]1,
CID44341478,receptor.pdb,CCCn1cnc2c(=O)[nH]c(=O)[nH]c21,
CID10330675,receptor.pdb,CCCCn1cnc2[nH]c(=O)[nH]c(=O)c21,
CID55250465,receptor.pdb,CNc1cncc(C(N)=O)n1,
CID57403250,receptor.pdb,Cl.NC(N)=NC(=O)c1cnccn1,
CID69290777,receptor.pdb,CCNc1cncc(C(N)=O)n1,
CID69291756,receptor.pdb,CCCCNc1cncc(C(N)=O)n1,
CID135415586,receptor.pdb,CCCCn1cnc2c(=O)[nH]c(N)nc21,
CID135398658,receptor.pdb,Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,
