complex_name,protein_path,ligand_description,protein_sequence
CID135625277,receptor.pdb,C[C@H](O)[C@H](O)[C@@H]1CNc2c(nc(N)[nH]c2=O)N1,
CID135538366,receptor.pdb,Nc1nc(NCCO)c(NC=O)c(=O)[nH]1,
CID135789971,receptor.pdb,C[C@@H]1Nc2c(nc(N)[nH]c2=O)N[C@@H]1C,
CID135407944,receptor.pdb,C[C@H](O)C(=O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID135742611,receptor.pdb,CC(O)C(O)C1C=Nc2c(nc(N)[nH]c2=O)N1,
CID140499788,receptor.pdb,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl.Cl,
CID136160742,receptor.pdb,CC(O)C(=O)C1CNc2c(nc(N)[nH]c2=O)N1,
CID136146262,receptor.pdb,C[C@@H](O)C(=O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID136003108,receptor.pdb,C[C@H](O)[C@@H](O)[C@@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID169948304,receptor.pdb,CC(C)(F)Cc1cnc2nc[nH]c(=O)c2n1,
CID135502006,receptor.pdb,CSc1nc2ncc(C(O)C(O)CO)nc2c(=O)[nH]1,
CID146029521,receptor.pdb,NC(N)=NC(=O)c1nc(Nc2ncccn2)c(N2CCCCCC2)nc1N,
CID127048051,receptor.pdb,CNc1nc2nccnc2c(=O)n1C,
CID470918,receptor.pdb,O=C(Nc1nccs1)c1cnccn1,
CID10376254,receptor.pdb,CCCn1c(=O)[nH]c(=O)c2c1ncn2CC,
CID15148129,receptor.pdb,NCCNC(=O)c1nc(Cl)c(N)nc1N,
CID379345,receptor.pdb,Cn1c(=O)[nH]c2nccnc2c1=O,
CID73173,receptor.pdb,NC(=O)c1nccnc1C(N)=O,
CID146713,receptor.pdb,C=Cn1cnc2c1c(=O)n(C)c(=O)n2C,
CID514103,receptor.pdb,O=c1c2nccnc2ncn1O,
CID653281,receptor.pdb,Cn1c(=O)c2c(nc(-n3ccnc3)n2C)n(C)c1=O,
CID5374589,receptor.pdb,Cc1cnc2c(=O)[nH]c(=O)[nH]c2n1,
CID9794049,receptor.pdb,O=c1[nH]c2nccnc2c(=O)n1O,
CID44438597,receptor.pdb,O=C(NC1CCCCCC1)c1cnc(N2CCCCC2)cn1,
CID57394424,receptor.pdb,Cl.NC(N)=NC(=O)c1ncc(N)nc1N,
CID135415587,receptor.pdb,CCCCCn1cnc2c(=O)[nH]c(N)nc21,
CID135448391,receptor.pdb,CCn1cnc2nc(N)[nH]c(=O)c21,
CID822307,receptor.pdb,CN(C)c1nc(=O)[nH]c2nccnc12,
CID135443570,receptor.pdb,CN(C)c1nc2nccnc2c(=O)[nH]1,
CID3069972,receptor.pdb,C=CCn1c(C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12,
CID214922,receptor.pdb,Cc1nc2nccnc2c(=O)n1C1CCCCC1,
CID59276991,receptor.pdb,CNC(=O)c1cnc(Cl)cn1,
CID470899,receptor.pdb,NC(=O)c1nc(Br)cnc1N,
CID135415585,receptor.pdb,CCCn1cnc2c(=O)[nH]c(N)nc21,
CID44438596,receptor.pdb,CC1CCC(NC(=O)c2cnc(N3CCCCC3)cn2)CC1,
CID44438591,receptor.pdb,CCCCN(C)c1cncc(C(=O)NC2CCCCCC2)n1,
CID14000474,receptor.pdb,CCCn1c(=O)c2[nH]c(-c3cnccn3)nc2n(CCC)c1=O,
CID135415584,receptor.pdb,CCn1cnc2c(=O)[nH]c(N)nc21,
CID14207625,receptor.pdb,NC(=O)c1cn2cc(Br)nc(Br)c2n1,
CID343616,receptor.pdb,Cn1c(=O)c2nccnc2n(C)c1=O,
