complex_name,protein_path,ligand_description,protein_sequence
CID2746,receptor.pdb,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,
CID1853,receptor.pdb,O=c1[nH]c2ccccc2c2ccccc12,
CID6314,receptor.pdb,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl,
CID37497,receptor.pdb,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,
CID6992310,receptor.pdb,CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,
CID54676478,receptor.pdb,CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,
CID108173,receptor.pdb,Cc1cccc(C)c1NC(=O)C(C)N.Cl,
CID9212,receptor.pdb,C1=Cc2ccccc2Nc2ccccc21,
CID27833,receptor.pdb,CCOC(=O)N1c2ccccc2C=CC1OCC,
CID4906,receptor.pdb,CCCNC(C)C(=O)Nc1ccccc1C,
CID443387,receptor.pdb,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O,
CID3194,receptor.pdb,O=c1c2ccccc2[se]n1-c1ccccc1,
CID67095330,receptor.pdb,O=C(NC1CC1)C(=O)C(Cc1ccccc1)NC(=O)[C@H]1CCC(=O)N1Cc1ccccc1,
CID4342,receptor.pdb,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,
CID21307,receptor.pdb,CC1=C(C(=O)Nc2ccccc2)SCCO1,
CID3676,receptor.pdb,CCN(CC)CC(=O)Nc1c(C)cccc1C,
CID2554,receptor.pdb,NC(=O)N1c2ccccc2C=Cc2ccccc21,
CID5311,receptor.pdb,O=C(CCCCCCC(=O)Nc1ccccc1)NO,
CID2148,receptor.pdb,Nc1ccc(C(=O)NCC(=O)O)cc1,
CID24685,receptor.pdb,CC(C)OC(=O)Nc1ccccc1,
CID2018,receptor.pdb,CC(=O)Nc1ccc(CC(=O)O)cc1,
CID3397,receptor.pdb,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,
CID25022340,receptor.pdb,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,
CID25215428,receptor.pdb,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,
CID34312,receptor.pdb,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,
CID4616,receptor.pdb,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,
CID5897,receptor.pdb,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,
CID40632,receptor.pdb,Cc1ccc(=O)n(-c2ccccc2)c1,
CID3845,receptor.pdb,O=C(O)c1cc(=O)c2ccccc2[nH]1,
CID64048,receptor.pdb,O=c1[nH]c(=O)c2ccccc2[nH]1,
CID68144,receptor.pdb,O=C(O)CNC(=O)Cc1ccccc1,
CID2883,receptor.pdb,CC=CC(=O)N(CC)c1ccccc1C,
CID136025899,receptor.pdb,CNC(=O)c1cnc2c(=O)[nH]c(N)nc2n1,
CID11806996,receptor.pdb,CCC(=O)c1cnc2c(n1)c(=O)n(C)c(=O)n2C,
CID10922507,receptor.pdb,CC[C@H](O)c1cnc2[nH]c(=O)n(C)c(=O)c2n1,
CID10609713,receptor.pdb,CCC(=O)c1cnc2[nH]c(=O)n(C)c(=O)c2n1,
CID639142,receptor.pdb,CCC(=O)c1cnc2[nH]c(=O)[nH]c(=O)c2n1,
CID135909519,receptor.pdb,C[C@@H](O)[C@H](O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID162671453,receptor.pdb,C[C@H](OS(=O)(=O)O)[C@H](O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID135738580,receptor.pdb,C[C@H](O)[C@@H](O)c1cnc2nc(N)[nH]c(=O)c2n1,
