complex_name,protein_path,ligand_description,protein_sequence
BDB_50156156,receptor.pdb,CC(O)C(O)C1CNc2c(nc(N)[nH]c2=O)N1,
BDB_50373697,receptor.pdb,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
BDB_6644,receptor.pdb,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,
BDB_729096,receptor.pdb,CN1CCc2cc3c(cc2C1O)OCO3,
CHEMBL351823,receptor.pdb,NC1(C(=O)O)CC2CC[C@@H]1c1ccccc12,
CHEMBL3634670,receptor.pdb,c1ccc2c(c1)CSc1sccc1C2n1ccnc1,
CID58548356,receptor.pdb,O=C(NC1CC1)c1ccsc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,
CID4915,receptor.pdb,CNNCc1ccc(C(=O)NC(C)C)cc1,
CID3292,receptor.pdb,CCN1C(=O)NC(c2ccccc2)C1=O,
CID1775,receptor.pdb,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,
CID464,receptor.pdb,O=C(O)CNC(=O)c1ccccc1,
CID4909,receptor.pdb,CCC1(c2ccccc2)C(=O)NCNC1=O,
CID134601,receptor.pdb,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,
CID6140,receptor.pdb,N[C@@H](Cc1ccccc1)C(=O)O,
CID5426,receptor.pdb,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,
CID4753,receptor.pdb,NC(=O)NC(=O)Cc1ccccc1,
CID5388962,receptor.pdb,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,
CID5362119,receptor.pdb,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,
CID11450633,receptor.pdb,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,
CID5904,receptor.pdb,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,
CID11149707,receptor.pdb,CCOC(=O)N1CCC(Nc2cc(C)ccn2)CC1,
CID219078,receptor.pdb,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,
CID5311309,receptor.pdb,CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,
CID5462501,receptor.pdb,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,
CID3487,receptor.pdb,CCC1(c2ccccc2)CCC(=O)NC1=O,
CID4060,receptor.pdb,CCC1(c2ccccc2)NC(=O)N(C)C1=O,
CID4763,receptor.pdb,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,
CID43672,receptor.pdb,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,
CID2349,receptor.pdb,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,
CID6839,receptor.pdb,CN1C(=O)CC(c2ccccc2)C1=O,
CID72172,receptor.pdb,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,
CID11120251,receptor.pdb,CC(C)(C)C(=O)Nc1cccnc1C(=O)Nc1nccs1,
CID971434,receptor.pdb,Cc1ccc(NC(=S)NCCc2ccccc2)nc1,
CID5288607,receptor.pdb,CN(Cc1cn(C)c2ccccc12)C(=O)/C=C/c1cnc2c(c1)CCC(=O)N2,
CID11200510,receptor.pdb,Cc1cccc(Cl)c1NC(=O)c1cnc(Nc2cccc(NCCO)n2)s1,
CID11283174,receptor.pdb,Cc1cccc(Cl)c1NC(=O)c1cnc(Nc2cccc(NCCCN3CCOCC3)n2)s1,
CID11357740,receptor.pdb,CC(C)C1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,
CID11487256,receptor.pdb,Cc1cccc(Cl)c1NC(=O)c1cnc(Nc2cc(N3CCOCC3)ncn2)s1,
CID11537456,receptor.pdb,CN(C)c1ccnc2sc3c(=O)n(C4CCCCCC4)cnc3c12,
CID15980109,receptor.pdb,NCCNC(=O)c1cncc(-c2cnc(Nc3cc(N4CCOCC4)ccn3)s2)c1,
