complex_name,protein_path,ligand_description,protein_sequence
CID14569,receptor.pdb,Cc1cccc(Nc2ccccc2)c1,
CID135403814,receptor.pdb,Nc1nc2ccccc2c(=O)[nH]1,
CID27689,receptor.pdb,CCNC(=O)C(C)OC(=O)Nc1ccccc1,
CID24361,receptor.pdb,Cc1cccc(C)c1NC(=O)CN1CCCC1,
CID3925,receptor.pdb,CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C,
CID95019,receptor.pdb,CC(=O)Nc1ccc([As](=O)(O)O)cc1,
CID5091716,receptor.pdb,O=C(Nc1ccccc1C(=O)[O-])c1ccccc1,
CID155385,receptor.pdb,CC(C)N(C(=O)C(=O)O)c1ccccc1,
CID14924483,receptor.pdb,CCc1cccc(CC)c1N(COC)C(=O)C(=O)O,
CID16212222,receptor.pdb,CC(C)N(C(=O)C(=O)O)c1ccc(F)cc1,
CID18787,receptor.pdb,CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,
CID7591,receptor.pdb,CCOC(=O)Nc1ccccc1,
CID8641,receptor.pdb,Nc1cccc(-n2ccccc2=O)c1,
CID62370,receptor.pdb,CCC(=O)N(CC(C)N(C)CCc1ccccc1)c1ccccc1,
CID54677977,receptor.pdb,CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,
CID14313,receptor.pdb,Cc1cccc2c1NC(=O)C2=O,
CID26384,receptor.pdb,Cc1nc2ccccc2[nH]c1=O,
CID88043,receptor.pdb,Cc1ccc(C(N)=O)cc1N,
CID7691,receptor.pdb,CC(=O)Nc1ccc([N+](=O)[O-])cc1,
CID7106,receptor.pdb,c1ccc2c(c1)Cc1ccccc1N2,
CID26219,receptor.pdb,N#CC1C=Cc2ccccc2N1C(=O)c1ccccc1,
CID10382,receptor.pdb,O=C(CS)Nc1ccccc1,
CID87146,receptor.pdb,Cc1ccc(NC(=O)N(C)C)cc1NC(=O)N(C)C,
CID54680871,receptor.pdb,O=c1cc(O)c2ccccc2[nH]1,
CID6971,receptor.pdb,CC(=O)Nc1ccccc1C(=O)O,
CID8274,receptor.pdb,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,
CID66160,receptor.pdb,CC1(c2ccccc2)C(=O)NC(=O)NC1=O,
CID7011,receptor.pdb,CCC(C(N)=O)c1ccccc1,
CID121397,receptor.pdb,O=C1CC(c2ccccc2)CN1,
CID5281143,receptor.pdb,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)CNC(=O)/C(=C/c2ccccc2)N(C)C1=O,
CID67535,receptor.pdb,CC(C)N1C(=O)c2ccccc2C1=O,
CID25354,receptor.pdb,CCCNC(=O)c1ccccc1,
CID4402710,receptor.pdb,O=C([O-])CNC(=O)c1ccccc1,
CID5362118,receptor.pdb,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,
CID22887897,receptor.pdb,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O,
CID9376,receptor.pdb,O=C(CCCl)NCCc1ccccc1,
CID6917719,receptor.pdb,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,
CID640021,receptor.pdb,C[C@@]1(c2ccccc2)NC(=O)NC1=O,
CID107921,receptor.pdb,CC[C@@]1(c2ccccc2)NC(=O)N(C)C1=O,
CID895546,receptor.pdb,O=C(NC(=S)NC1CCCCC1)c1ccccc1,
