complex_name,protein_path,ligand_description,protein_sequence
CID135764911,receptor.pdb,CC(O)C(O)c1cnc2c(=O)[nH]c(N)nc2n1,
CID135440058,receptor.pdb,Nc1nc2ncc(COP(=O)(O)OP(=O)(O)O)nc2c(=O)[nH]1,
CID168275565,receptor.pdb,CCC(=O)Nc1cncc(C(=O)O)n1,
CID137003970,receptor.pdb,C[C@H](O)C(=O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID14825208,receptor.pdb,COCCC(=O)c1cnc2[nH]c(=O)n(C)c(=O)c2n1,
CID137177198,receptor.pdb,C[C@H](O)C(O)[C@@H](O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID136166745,receptor.pdb,O=c1[nH]c(NCO)nc2nccnc12,
CID135967978,receptor.pdb,CC(C)C(=O)Nc1nc2ncc(C=O)nc2c(=O)[nH]1,
CID89524095,receptor.pdb,CC(O)C(O)c1cnc2c(n1)NC(N)N[C@H]2O,
CID69004743,receptor.pdb,NN1CNC(=O)c2nc(CO)cnc21,
CID137208341,receptor.pdb,Cc1nc2nc(N)[nH]c(=O)c2nc1[C@H](O)[C@@H](C)O,
CID54282957,receptor.pdb,CC(O)C(O)c1cnc2c(n1)NC(N)N[C@@H]2O,
CID22629897,receptor.pdb,CC(O)C(O)c1cnc2nc(N)nc(N)c2n1,
CID22134421,receptor.pdb,CC(O)C(O)c1cnc2c(n1)NC(N)NC2=O,
CID20213807,receptor.pdb,CC(O)C(O)c1cnc2c(n1)NC(N)NC2O,
CID135456669,receptor.pdb,CN(C)/C=N/c1nc2ncc(C=O)nc2c(=O)[nH]1,
CID2811386,receptor.pdb,Cc1cnc(NC(=O)c2nccnc2C(=O)O)c(C)n1,
CID163185605,receptor.pdb,CN(C)c1nc2ncc([C@H](O)[C@@H]3COP(=O)(O)O3)nc2c(=O)[nH]1,
CID371473,receptor.pdb,COc1nc2nc(C(O)C(O)CO)cnc2c(=O)n1C,
CID484331,receptor.pdb,COc1nc2nc([C@@H](O)[C@H](O)CO)cnc2c(=O)n1C,
CID136582209,receptor.pdb,C[C@@H](O)CN(C)C(=O)c1cnc(N(C)C)cn1,
CID135489902,receptor.pdb,COc1nc2ncc([C@@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)nc2c(=O)[nH]1,
CID135450939,receptor.pdb,COc1nc2ncc([C@@H](O)[C@H](O)CO)nc2c(=O)[nH]1,
CID135408921,receptor.pdb,CSc1nc2nc(C(O)C(O)C(O)CO)cnc2c(=O)[nH]1,
CID10938418,receptor.pdb,COc1nc2ncc([C@@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)nc2c(=O)n1C,
CID484330,receptor.pdb,COc1nc2nc([C@@H](O)[C@@H](O)CO)cnc2c(=O)n1C,
CID135889290,receptor.pdb,Nc1nc2ncc(C(=O)[C@H]3OP(=O)(O)OC[C@H]3O)nc2c(=O)[nH]1,
CID136416563,receptor.pdb,Nc1nc2c(c(=O)[nH]1)NCN2CCC(F)CO,
CID484376,receptor.pdb,COc1nc2nc([C@H](O)[C@H](O)CO)cnc2c(=O)n1C,
CID141389361,receptor.pdb,NC(=O)c1nc(F)cnc1NC(CO)CO,
CID484375,receptor.pdb,COc1nc2nc([C@H](O)[C@@H](O)CO)cnc2c(=O)n1C,
CID141389363,receptor.pdb,NC(=O)c1nc(F)cnc1NCCCO,
CID6712526,receptor.pdb,COc1nc2ncc([C@@H](O)[C@H](O)CO)nc2c(=O)n1C,
CID10977869,receptor.pdb,CC[C@H](O)c1cnc2c(n1)c(=O)n(C)c(=O)n2C,
CID135618565,receptor.pdb,Nc1nc2ncc([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)nc2c(=O)[nH]1,
CID71406915,receptor.pdb,Cn1c(NCC(=O)O)nc2nccnc2c1=O,
CID53882095,receptor.pdb,CC(O)C(=O)c1cnc2c(n1)C(=O)NC(N)N2,
CID146834,receptor.pdb,C[C@@H](O)[C@@H](O)c1cnc2[nH]c(=O)[nH]c(=O)c2n1,
CID163193450,receptor.pdb,CN(C)c1nc2ncc([C@H](O)[C@@H](O)COP(=O)(O)O)nc2c(=O)[nH]1,
CID163186901,receptor.pdb,CN(C)c1nc2ncc([C@H](O)[C@@H](O)CO)nc2c(=O)[nH]1,
