complex_name,protein_path,ligand_description,protein_sequence
CID289925,receptor.pdb,O=Cc1cc2cccnc2s1,
CID790718,receptor.pdb,Cc1cccnc1NC(=O)Nc1ccccc1,
CID802099,receptor.pdb,Cc1ccccc1C(=O)NC(=S)Nc1ncccn1,
CID4868360,receptor.pdb,Nc1ccc(-c2nc3ccccc3s2)cn1,
CID5678845,receptor.pdb,O=c1[nH]c(=S)[nH]c2nc(-c3cccs3)cc(C(F)(F)F)c12,
CID70169,receptor.pdb,O=C1Nc2cccnc2Nc2ccccc21,
CID708470,receptor.pdb,O=C(NC(=S)Nc1ccccn1)c1ccccc1,
CID10749527,receptor.pdb,O=Cc1cc2ccncc2s1,
CID11269410,receptor.pdb,Cc1nc(Cl)cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)n1,
CID290232,receptor.pdb,Cc1sc2ncnc(N)c2c1C,
CID1927420,receptor.pdb,O=C(Nc1ccccn1)C(=O)Nc1ccccn1,
CID10850461,receptor.pdb,Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1,
CID139594706,receptor.pdb,CN(C)C(=O)c1cccnc1S(=O)(=O)NC(=O)NC(N)=O,
CID16661115,receptor.pdb,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@H](NC(=O)c2nc3c(s2)CNCC3)C1,
CID59676785,receptor.pdb,CNC(=O)[C@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@H](NC(=O)c2nc3c(s2)CN(C)CC3)C1,
CID86279927,receptor.pdb,CC(=O)c1c(C)c2cnc(Nc3ccc(C4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,
CID135413516,receptor.pdb,Cc1nc(NCc2cccnc2)c(C#N)c(=O)[nH]1,
CID65614,receptor.pdb,CC(Cc1ccccc1)NC=O,
CID9805776,receptor.pdb,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3C[C@H](O)CO3)c(Cc3ccnc4ccccc34)sc21,
CID10966027,receptor.pdb,c1cc2sccc2c(N2CCNCC2)n1,
CID9549298,receptor.pdb,O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1,
CID979718,receptor.pdb,O=C(Nc1c(-c2cccs2)nc2ccccn12)c1ccc(Cl)cc1,
CID898760,receptor.pdb,CC(C)c1ccc(C(=O)Nc2ccccn2)cc1,
CID812443,receptor.pdb,C=CCn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3,
CID68801,receptor.pdb,Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,
CID453338,receptor.pdb,O=C1Nc2c(CO)ccnc2N(C2CC2)c2ncccc21,
CID72024,receptor.pdb,O=C1c2ccccc2S(=O)(=O)N1CCCN1CCN(c2ncccn2)CC1,
CID16043304,receptor.pdb,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1,
CID936046,receptor.pdb,Nc1nc(Nc2ccccc2)sc1C(=O)c1ccccc1,
CID9817550,receptor.pdb,Nc1nccc(-c2c3c(=O)cc[nH]c3n3c(N)nccc23)n1,
CID126487,receptor.pdb,O=c1c2[nH]cnc2c2cccnc2n1-c1ccccc1,
CID1936439,receptor.pdb,N#Cc1c2nc3ccccc3nc2n2ccc(NC(=O)c3cccs3)cc12,
CID118279413,receptor.pdb,CCCC[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cnc(N2CCN(C)CC2)s1,
CID129989,receptor.pdb,CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,
CID16660135,receptor.pdb,CC(C)Nc1cc(-c2csc(N(C)C(=O)c3ccc(F)cc3)n2)ncn1,
CID225470,receptor.pdb,Nc1ccc(C(=O)Nc2nccs2)cc1,
CID24752865,receptor.pdb,Nc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)nc1,
CID81976,receptor.pdb,Nc1ccc(C(=O)Nc2ccccn2)cc1,
CID3059529,receptor.pdb,Nc1ccc(C(=O)NO)cn1,
CID24180707,receptor.pdb,CN(C)CCN(Cc1ccsc1)c1ccccn1.Cl,
