complex_name,protein_path,ligand_description,protein_sequence
BDB_357772,receptor.pdb,Cn1c(=O)[nH]c(=O)c2c1nc(Sc1nc3ccccc3[nH]1)n2Cc1nccs1,
BDB_341549,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(C(=O)N(C)C)nc1Cl)C3c1ccc(F)cc1F,
CHEMBL3799301,receptor.pdb,N/C(=N\C(=O)c1ccc(C[C@H](N)C(=O)O)cc1)NCc1c(Oc2ccc(C(F)(F)F)cc2)cccc1N1CCCCC1,
CHEMBL5996854,receptor.pdb,Cc1cnc(C2c3c(nc4sc(C)nn34)CCN2C(=O)COc2ccc(NS(C)(=O)=O)nc2Cl)c(F)c1,
CHEMBL4762460,receptor.pdb,COc1ccc(-c2nc(-c3ccc(C[C@H](N)C(N)=O)cc3)no2)cc1-c1ccc(O)cc1.Cl,
CHEMBL5987515,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(N(C)S(C)(=O)=O)nc1Cl)C3c1ccc(Cl)cc1F,
BDB_341570,receptor.pdb,Cc1nc(C)c(C2c3c(nc4sc(C)nn34)CCN2C(=O)COc2ccc(N(C)S(C)(=O)=O)nc2Cl)s1,
BDB_341651,receptor.pdb,CS(=O)(=O)Nc1ccc(OCC(=O)N2CCc3nc4sccn4c3C2c2sccc2F)c(Cl)c1,
BDB_50630656,receptor.pdb,CCn1c(=O)[nH]c(=O)c2c1nc(Cc1cn3cc(C)sc3n1)n2CCCOC,
CHEMBL3799918,receptor.pdb,N/C(=N\C(=O)c1ccc(C[C@H](N)C(=O)O)cc1)NCc1c(Oc2cccc(C(F)(F)F)c2)cccc1N1CCCCC1,
BDB_50630641,receptor.pdb,CCn1c(=O)[nH]c(=O)c2c1nc(Cc1cn3c(n1)CCCC3)n2CC1CCC1,
CHEMBL469479,receptor.pdb,C[C@@H](Nc1nc(N)nc(-c2ccc(CC(N)C(=O)O)c(F)c2)n1)c1ccc2ccccc2c1,
CHEMBL4790025,receptor.pdb,COc1ccc(-c2cnc(-c3ccc(C[C@H](N)C(=O)O)cc3)[nH]2)cc1.Cl,
BDB_341684,receptor.pdb,Cc1cc(Cl)ccc1OCC(=O)N1CCc2nc3sccn3c2C1c1c(C)nn(C)c1C,
CHEMBL4064649,receptor.pdb,COc1cccc(-c2cc(Cl)ccc2[C@@H](Oc2cc(N3CCC4(CC3)CN[C@H](C(=O)O)C4)nc(N)n2)C(F)(F)F)c1,
CHEMBL5742219,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(-c2ncco2)nc1Cl)C3c1ccc(Cl)cc1F,
CHEMBL249856,receptor.pdb,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,
CHEMBL106258,receptor.pdb,NC1=NCC(c2ccccc2)O1,
CHEMBL1104,receptor.pdb,CC[N+](C)(C)c1cccc(O)c1,
CHEMBL1200675,receptor.pdb,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,
CHEMBL15023,receptor.pdb,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,
CHEMBL1177,receptor.pdb,NC1=NC(=O)C(c2ccccc2)O1,
CHEMBL159226,receptor.pdb,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,
CHEMBL39736,receptor.pdb,CCCCNC(=N)NC(=N)N,
CHEMBL1788403,receptor.pdb,C=CCC1=C(C)C(OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,
CHEMBL328190,receptor.pdb,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,
CHEMBL790,receptor.pdb,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,
CHEMBL168815,receptor.pdb,CC1OC2(CS1)CN1CCC2CC1,
CHEMBL481,receptor.pdb,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,
CHEMBL1161,receptor.pdb,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,
CHEMBL529437,receptor.pdb,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C.Cl,
CHEMBL19236,receptor.pdb,COc1nc(C)nc(Cl)c1NC1=NCCN1,
CHEMBL1168,receptor.pdb,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,
CHEMBL50588,receptor.pdb,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,
CHEMBL2107383,receptor.pdb,COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC.Cl,
CHEMBL1722,receptor.pdb,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,
CHEMBL477,receptor.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
CHEMBL18,receptor.pdb,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,
CHEMBL1200874,receptor.pdb,CCCCNC(=O)[N-]S(=O)(=O)c1ccc(C)cc1.[Na+],
CHEMBL1200500,receptor.pdb,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,
