complex_name,protein_path,ligand_description,protein_sequence
CID136087650,receptor.pdb,CC(O)C(O)C1Nc2nc(N)[nH]c(=O)c2NC1C,
CID136415805,receptor.pdb,Nc1nc2c(c(=O)[nH]1)NCN2CC(=O)CCO,
CID136397623,receptor.pdb,CC(O)C(O)C1CNc2c(nc(N)[nH]c2=O)N1.Cl,
CID136068409,receptor.pdb,C[C@@H](O)[C@@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135403591,receptor.pdb,Cn1cnc2c(=O)[nH]c(N)nc21,
CID136363479,receptor.pdb,CCCC(=O)N1c2c(nc(N)[nH]c2=O)NCC1C(O)C(C)O,
CID136363917,receptor.pdb,CC(O)C(O)C1=Nc2nc(N)[nH]c(=O)c2NC1,
CID136176977,receptor.pdb,CCC(O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID136159763,receptor.pdb,CC(=O)N1c2c(nc(N)[nH]c2=O)NCC1[C@@H](O)[C@H](C)O,
CID136156422,receptor.pdb,C[C@H](O)C(O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID136153088,receptor.pdb,C[C@@H](O)[C@@H](O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID136101857,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COPP)CN2,
CHEMBL2204538,receptor.pdb,COCCOc1nc(-c2ccc(Cl)nc2)nc2c1CN(C(=O)c1ncn3ccccc13)CC2,
CHEMBL4098877,receptor.pdb,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@H](C)O1,
CHEMBL5818792,receptor.pdb,CCCn1c(=O)[nH]c(=O)c2c1nc(Nc1nc3ccccc3[nH]1)n2Cc1ccccc1,
BDB_357739,receptor.pdb,CCn1c(=O)[nH]c(=O)c2c1nc(Cc1nc3ccccc3[nH]1)n2Cc1ccccc1,
BDB_50167389,receptor.pdb,N/C(=N\C(=O)c1ccc(C[C@H](N)C(=O)O)cc1)NCc1ccccc1,
CHEMBL6012793,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1cnc(N(C)C)nc1Cl)C3c1sccc1F,
BDB_357760,receptor.pdb,Cn1c(=O)[nH]c(=O)c2c1nc(Cc1nc3cc(N4CCOCC4)ccc3[nH]1)n2Cc1ccccc1,
BDB_341716,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(N)nc1Cl)C3c1ccc(Cl)cc1F,
BDB_341584,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(NS(C)(=O)=O)nc1Cl)C3c1ccc(CN)cc1F,
CHEMBL3799789,receptor.pdb,N/C(=N\C(=O)c1ccc(C[C@H](N)C(=O)O)cc1)NCc1ccccc1N1CCC(O)CC1,
BDB_341668,receptor.pdb,O=C(COc1cccc(C(F)(F)F)c1Cl)N1CCc2nc3sccn3c2C1c1cnn(-c2ccccc2)c1,
CHEMBL5832651,receptor.pdb,CCOC(=O)c1ncc(C2c3c(nc4sc(C)nn34)CCN2C(=O)COc2ccc(C(F)(F)F)cc2Cl)s1,
BDB_341536,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(NS(C)(=O)=O)nc1Cl)C3c1ncccc1F,
CHEMBL5839793,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(N(C)C)nc1Cl)C3c1cc(CN(C)C)cs1,
CHEMBL5910390,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(C#N)cc1Cl)C3c1ccc(Cl)nc1F,
BDB_341698,receptor.pdb,CCc1nc(NS(C)(=O)=O)ccc1OCC(=O)N1CCc2nc3sc(CF)nn3c2C1c1sc(C)nc1C,
BDB_445671,receptor.pdb,CCn1c(=O)[nH]c(=O)c2c1nc(Cc1cn3ccccc3n1)n2Cc1ccc(-c2ncccn2)cc1,
BDB_341528,receptor.pdb,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1ccc(NS(C)(=O)=O)nc1Cl)C3c1ncc(Cl)cc1F,
BDB_50145663,receptor.pdb,Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(N3C4CC3CN(C[C@H](N)C(=O)O)C4)nc(N)n2)C(F)(F)F)n1,
CHEMBL469462,receptor.pdb,COc1ccc(CNc2cnc(-c3ccc(C[C@H](N)C(=O)O)cc3)cn2)c(OC2CCCC2)c1,
CHEMBL3798951,receptor.pdb,N/C(=N\C(=O)c1ccc(C[C@H](N)C(=O)O)cc1)NCc1ccccc1-n1nccn1,
BDB_445689,receptor.pdb,CCCn1c(=O)[nH]c(=O)c2c1nc(Cc1cn3ccccc3n1)n2Cc1ccccc1,
BDB_50167382,receptor.pdb,CN(Cc1ccccc1-c1ccccc1)/C(N)=N/C(=O)c1ccc(C[C@H](N)C(=O)O)cc1,
BDB_341678,receptor.pdb,Cc1cc(Cl)ccc1OCC(=O)N1CCc2nc3sccn3c2C1c1cc2cccnc2s1,
BDB_445686,receptor.pdb,O=c1[nH]c(=O)n(C2CC2)c2nc(Cc3cn4ccccc4n3)n(Cc3ccccc3)c12,
CHEMBL3798415,receptor.pdb,N/C(=N\C(=O)c1ccc(C[C@H](N)C(=O)O)cc1)NCc1ccccc1-c1ccccc1,
BDB_445693,receptor.pdb,CCn1c(=O)[nH]c(=O)c2c1nc(Cc1cn3cc(Cl)sc3n1)n2Cc1ccc(-n2cncn2)cc1,
BDB_445665,receptor.pdb,CCn1c(=O)[nH]c(=O)c2c1nc(Cc1cn3c(n1)CCCC3)n2Cc1ccc(-c2ccccc2)cc1,
