complex_name,protein_path,ligand_description,protein_sequence
CID16731823,receptor.pdb,CN1CCN(Cc2csc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)c2Cl)CC1,
CID21911345,receptor.pdb,Cc1cccc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)n1,
CID21911623,receptor.pdb,Cc1ccnc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)c1,
CID21911645,receptor.pdb,Cc1cccc(C)c1NC(=O)c1cnc(Nc2cccnn2)s1,
CID22282339,receptor.pdb,Cc1cc(C)cc(-c2nc(NC(=O)c3cccnc3)sc2-c2ccncc2)c1,
CID23634171,receptor.pdb,C#CCNc1ccnc2sc3c(=O)n(-c4ccc(Cl)cc4)cnc3c12,
CID5327096,receptor.pdb,CC(C)c1cnc(NC(=O)Cc2cccnc2)s1,
CID53329709,receptor.pdb,O=C(Nc1ccc(-c2ccccn2)s1)c1nc(C2CC2)ccc1Nc1cncnc1,
CID54761301,receptor.pdb,O=C(Nc1sccc1C(=O)N1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1,
CID66575082,receptor.pdb,CC#Cc1cncc(-c2cc(Cl)c([C@]3(C)CC(=O)N(C)C(N)=N3)s2)c1,
CID90153688,receptor.pdb,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1ccccc1S(C)(=O)=O,
CID91933875,receptor.pdb,C[C@H](c1ccccc1)N1c2cc(-n3c(=O)[nH]c4ncccc43)ccc2C(=O)NC1(C)C,
CID118409668,receptor.pdb,CC1(C)NC(=O)c2ccc(-n3c(=O)[nH]c4ncccc43)cc2N1Cc1ccccc1,
CID132585205,receptor.pdb,CN1CCN(C(=O)C(C)(C)c2ccc(C(=O)Nc3cn4cc(-c5ccncc5)ccc4n3)cc2)CC1,
CID135905416,receptor.pdb,Cc1cc(N2C[C@@H](C)N[C@@H](C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1,
CID748028,receptor.pdb,O=C(Nc1c(-c2ccccc2)nc2ccccn12)c1ccccc1,
CID4325210,receptor.pdb,CCCN1CCc2c(sc3nc(SC)n(-c4ccccc4)c(=O)c23)C1,
CID1712,receptor.pdb,O=C1N=c2ccc3ncsc3c2=C1CNc1ccc(S(=O)(=O)Nc2ccccn2)cc1,
CID8271,receptor.pdb,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,
CID53497572,receptor.pdb,CNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,
CID71157,receptor.pdb,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,
CID3476,receptor.pdb,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,
CID6476,receptor.pdb,CN1C(=O)CC(C)(c2ccccc2)C1=O,
CID25022354,receptor.pdb,CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,
CID9843750,receptor.pdb,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21,
CID71872,receptor.pdb,CC(C(=O)c1ccccc1)N(C)C,
CID132441,receptor.pdb,NC(=O)CN1CC(c2ccccc2)CC1=O,
CID17076,receptor.pdb,CCN(CC)C(=O)Cc1ccccc1,
CID33925,receptor.pdb,CCC1(c2ccccc2)C(=O)N(COC)C(=O)N(COC)C1=O,
CID180496,receptor.pdb,CCOC(=O)CNC(=O)[C@@H]1CCCN1C(=O)Cc1ccccc1,
CID54929,receptor.pdb,O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1,
CID52195,receptor.pdb,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,
CID6918637,receptor.pdb,CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](/C=C(\C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1,
CID60510,receptor.pdb,CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1.Cl,
CID92142,receptor.pdb,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,
CID9810996,receptor.pdb,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NCCC(C)(C)C,
CID10958189,receptor.pdb,Cc1ccc(C(C)NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)cc1,
CID102669,receptor.pdb,CCN(CC)CCC1(c2ccccc2)CCC(=O)NC1=O,
CID72026,receptor.pdb,O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,
CID45266826,receptor.pdb,CNC(C)C(=O)c1ccc(C)cc1,
