complex_name,protein_path,ligand_description,protein_sequence
CID136076467,receptor.pdb,Cn1c(=O)n(C2OC(CI)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,
CID135998863,receptor.pdb,COCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135998861,receptor.pdb,CCCOCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135402011,receptor.pdb,CC(O)C(O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID168925081,receptor.pdb,O=c1[nH]cnc2ncc(CC(F)(F)F)nc12,
CID135398702,receptor.pdb,CC(O)C(=O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID135409384,receptor.pdb,CC(O)C(O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID135796573,receptor.pdb,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1.Cl,
CID135406872,receptor.pdb,CC1Nc2nc(N)[nH]c(=O)c2NC1C,
CID135402045,receptor.pdb,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID135886626,receptor.pdb,CC(O)C(=O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID135407943,receptor.pdb,C[C@H](O)[C@@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID136176976,receptor.pdb,CC(=O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID135433595,receptor.pdb,CC(O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID135889530,receptor.pdb,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135998862,receptor.pdb,CCCCOCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135509079,receptor.pdb,C[C@@H](O)[C@@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID135398579,receptor.pdb,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID135409471,receptor.pdb,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135398687,receptor.pdb,C[C@H](O)[C@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID135911925,receptor.pdb,Nc1nc2c(c(=O)[nH]1)NC(C(=O)O)CN2,
CID136363596,receptor.pdb,CC(NC(=O)C(N)CCC(=O)N1c2c(nc(N)[nH]c2=O)NCC1C(O)C(C)OC(=O)C(F)(F)F)C(=O)O,
CID135718473,receptor.pdb,C[C@H](O)C(=O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID489317,receptor.pdb,COc1nc2c(c(=O)n1C)N[C@H]1[C@@H](O)[C@@H](O)CO[C@H]1N2,
CID135510088,receptor.pdb,Cl.Nc1nc2c(c(=O)[nH]1)NC(CO)CN2,
CID136363524,receptor.pdb,CCC(C)C(N)C(=O)OC(C)C(O)C1CNc2nc(N)[nH]c(=O)c2N1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,
CID136235688,receptor.pdb,CC(O)[C@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID136188272,receptor.pdb,CC(O)[C@H](O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID135833480,receptor.pdb,CCCCOCC1CNc2nc(N)[nH]c(=O)c2N1,
CID135674619,receptor.pdb,CC(C)OCC1CNc2nc(N)[nH]c(=O)c2N1,
CID135674617,receptor.pdb,CCCOCC1CNc2nc(N)[nH]c(=O)c2N1,
CID135546359,receptor.pdb,CCOCC1CNc2nc(N)[nH]c(=O)c2N1,
CID135449065,receptor.pdb,CC(O)C(O)c1nc2c(=O)[nH]c(N)nc2[nH]c1=O,
CID135409383,receptor.pdb,C[C@H](O)[C@H](O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID135546356,receptor.pdb,COCC1CNc2nc(N)[nH]c(=O)c2N1,
CID135873473,receptor.pdb,CC(O)[C@@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID148549355,receptor.pdb,CC(O)C(=O)Nc1nc2c(c(=O)[nH]1)NCCN2,
CID135566896,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N[C@@H](C(=O)O)CN2,
CID135433600,receptor.pdb,C[C@@H](O)[C@H](O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID135618583,receptor.pdb,C[C@@H](O)[C@@H](O)c1nc2nc(N)[nH]c(=O)c2[nH]c1=O,
