complex_name,protein_path,ligand_description,protein_sequence
CHEMBL487883,receptor.pdb,COP(=O)(CNC1(C(=O)O)CCCCCC1)OC,
CHEMBL252151,receptor.pdb,O=C(N/N=C/c1ccccn1)c1ccccc1,
CHEMBL1201110,receptor.pdb,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21.Cl,
CHEMBL488025,receptor.pdb,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1,
CHEMBL2105174,receptor.pdb,CC(C)c1[nH]c2ccccc2c1C(=O)c1cccnc1,
CHEMBL574,receptor.pdb,Cc1ccc(S(N)(=O)=O)cc1,
CHEMBL4297349,receptor.pdb,C[C@@H]1NC(=O)[C@H](CC(=O)O)NC1=O,
CHEMBL1742440,receptor.pdb,CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1,
CHEMBL2105318,receptor.pdb,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,
CHEMBL1624767,receptor.pdb,O=S(=O)(O)CC(S)CS,
CHEMBL4435170,receptor.pdb,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,
CHEMBL1086595,receptor.pdb,[NH-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],
CHEMBL31167,receptor.pdb,CCCCCCCCCCCCCNc1ccc(C(=O)[O-])cc1.[Na+],
CHEMBL2104575,receptor.pdb,O=c1cc(CN2CCOCC2)c2ccc(O)cc2o1,
CHEMBL52109,receptor.pdb,Cc1cc(C)c(S(=O)(=O)NN=C(N)N)c(C)c1,
CHEMBL2104164,receptor.pdb,NC(=O)CN1Cc2ccccc2OC1=O,
CHEMBL357440,receptor.pdb,CC(C)(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,
CHEMBL605003,receptor.pdb,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,
CHEMBL2111184,receptor.pdb,CC1Oc2ccccc2CC1N(C)C,
CHEMBL2107203,receptor.pdb,CCCCCC1Nc2cc(C(F)(F)F)c(S(N)(=O)=O)cc2S(=O)(=O)N1,
CHEMBL2105900,receptor.pdb,Cl.OC(c1ccccc1)(c1ccccc1)C1CCNCC1,
CHEMBL2110938,receptor.pdb,OC(c1ccccc1)(c1ccccc1)C1CCCCN1,
CHEMBL2110883,receptor.pdb,CC(C)C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(c1ccccc1)C1CCCC1)C2,
CHEMBL1987518,receptor.pdb,O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1,
CHEMBL6068564,receptor.pdb,CN(C)C1CCN(C(=O)C[C@H](O)c2nccn2C)CC1,
CHEMBL478117,receptor.pdb,O=C(CCCCCn1cc(-c2cccnc2)nn1)NO,
CHEMBL179200,receptor.pdb,Cc1cccnc1-c1cccnc1,
CHEMBL1200522,receptor.pdb,COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,
CHEMBL2105128,receptor.pdb,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N=CNS2(=O)=O,
CHEMBL1192491,receptor.pdb,OC1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21,
CHEMBL1673148,receptor.pdb,C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1cc2ccccc2cc1O,
CHEMBL5314557,receptor.pdb,Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2,
