complex_name,protein_path,ligand_description,protein_sequence
CHEMBL125,receptor.pdb,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,
CHEMBL1200402,receptor.pdb,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,
CHEMBL423,receptor.pdb,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,
CHEMBL70246,receptor.pdb,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,
CHEMBL1201342,receptor.pdb,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,
CHEMBL86304,receptor.pdb,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,
CHEMBL28333,receptor.pdb,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,
CHEMBL211471,receptor.pdb,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-],
CHEMBL2368924,receptor.pdb,CS(=O)(=O)O.O.O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,
CHEMBL325041,receptor.pdb,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,
CHEMBL70,receptor.pdb,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,
CHEMBL762,receptor.pdb,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,
CHEMBL830,receptor.pdb,NCCCC(N)(C(=O)O)C(F)F,
CHEMBL668,receptor.pdb,CNCCCC1c2ccccc2C=Cc2ccccc21,
CHEMBL446,receptor.pdb,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,
CHEMBL408,receptor.pdb,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,
CHEMBL1201776,receptor.pdb,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,
CHEMBL278819,receptor.pdb,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,
CHEMBL48582,receptor.pdb,CS(=O)(=O)O.C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,
CHEMBL1663,receptor.pdb,FC(F)(F)C(F)(F)C(F)(F)F,
CHEMBL453,receptor.pdb,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,
CHEMBL12610,receptor.pdb,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,
CHEMBL986,receptor.pdb,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,
CHEMBL700,receptor.pdb,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,
CHEMBL593,receptor.pdb,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,
CHEMBL1129,receptor.pdb,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,
CHEMBL28318,receptor.pdb,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,
CHEMBL4,receptor.pdb,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,
CHEMBL1201049,receptor.pdb,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,
CHEMBL686,receptor.pdb,Cc1cccc(Nc2ccccc2C(=O)O)c1C,
CHEMBL558,receptor.pdb,Cc1cccc(C)c1OCC(C)N,
CHEMBL960,receptor.pdb,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,
CHEMBL1072,receptor.pdb,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,
CHEMBL1128,receptor.pdb,CC[N+](C)(C)c1cccc(O)c1.[Cl-],
CHEMBL995,receptor.pdb,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],
CHEMBL6966,receptor.pdb,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,
CHEMBL1231,receptor.pdb,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,
CHEMBL154,receptor.pdb,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,
CHEMBL15891,receptor.pdb,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,
CHEMBL1546,receptor.pdb,CC(N)Cc1ccc(O)cc1,
