complex_name,protein_path,ligand_description,protein_sequence
CID139588178,receptor.pdb,CO[C@@H]1[C@H](OC)[C@@H](O[C@@H](C)[C@H](O)c2cnc3nc(N)[nH]c(=O)c3n2)O[C@H](CO)[C@H]1OC,
CID135494248,receptor.pdb,C[C@H](O)[C@H](O)c1cnc2nc(NCCCN)[nH]c(=O)c2n1,
CID139583914,receptor.pdb,CO[C@@H]1[C@H](O)[C@@H](O[C@@H](C)[C@H](O)c2cnc3nc(N)[nH]c(=O)c3n2)O[C@H](C)[C@H]1O,
CID24974982,receptor.pdb,O=C(O)c1cnc2[nH]c(=O)[nH]c(=O)c2n1,
CID135765031,receptor.pdb,C[C@@H](O)[C@@H](O)c1cnc2c(=O)[nH]c(N)nc2n1,
CID135566760,receptor.pdb,NCc1cnc2nc(N)[nH]c(=O)c2n1,
CID58548282,receptor.pdb,O=C(O)c1nc(C2CC2)cnc1Nc1cncnc1,
CID445158,receptor.pdb,C[C@H](O)[C@H](O)c1cnc2nc(N)nc(N)c2n1,
CID136259617,receptor.pdb,Nc1nc2ncc(CNCCCC[C@@H](N)C(=O)O)nc2c(=O)[nH]1,
CID148794349,receptor.pdb,CC(=O)Nc1nc2ncc(C(C)=O)nc2c(=O)[nH]1,
CID9547941,receptor.pdb,C[C@H](O)[C@@H](O)c1cnc2nc(N)nc(N)c2n1,
CID135754259,receptor.pdb,Nc1nc2ncc(/C=C/C(O)COP(=O)(O)O)nc2c(=O)[nH]1,
CID135478901,receptor.pdb,CCOC(OCC)c1cnc2nc(NC(C)=O)[nH]c(=O)c2n1,
CID135430042,receptor.pdb,COc1nc2ncc(C(OC(C)=O)C(COC(C)=O)OC(C)=O)nc2c(=O)[nH]1,
CID496578,receptor.pdb,COc1nc2ncc(C(OC(C)=O)C(COC(C)=O)OC(C)=O)nc2c(=O)n1C,
CID496577,receptor.pdb,COc1nc2ncc(C(O)C(O)CO)nc2c(=O)n1C,
CID375734,receptor.pdb,Cn1c(=O)c2nc(NCCO)cnc2n(C)c1=O,
CID15743924,receptor.pdb,CCC(=O)c1cnc(C(=O)OC)c(N)n1,
CID136274596,receptor.pdb,CCC(=O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID135485013,receptor.pdb,COc1nc2ncc(C(O)C(O)CO)nc2c(=O)[nH]1,
CID135998859,receptor.pdb,CC(C)(C)OCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135998867,receptor.pdb,CCOCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135484783,receptor.pdb,Nc1nc2c(c(=O)[nH]1)NC(CO)CN2,
CID137103756,receptor.pdb,C[C@H](O)[C@H](O)[C@@]1(C)CNc2nc(N)[nH]c(=O)c2N1,
CID135476776,receptor.pdb,C[C@@H](O)[C@@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID135444567,receptor.pdb,CC(O)C(O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135873472,receptor.pdb,CC(O)[C@@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135481025,receptor.pdb,C[C@H](O)[C@H](O)[C@@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID136087393,receptor.pdb,C[C@H](O)[C@@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID135905887,receptor.pdb,C[C@@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID393221,receptor.pdb,COc1nc2c(c(=O)n1C)N[C@@H]1[C@@H](O)[C@H](O)CO[C@@H]1N2,
CID135886616,receptor.pdb,CC(O)C1=Nc2c(nc(N)[nH]c2=O)NC1C,
CID136504211,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N=CC(CO)N2,
CID135998866,receptor.pdb,CC(C)OCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID136109078,receptor.pdb,CC(N)C(=O)OCC1CNc2nc(N)[nH]c(=O)c2N1,
CID136035300,receptor.pdb,CCCCCCCCCCOCC1CNc2nc(N)[nH]c(=O)c2N1,
CID136032589,receptor.pdb,C[C@H](O)[C@H](O)C1CNc2c(nc(N)[nH]c2=O)N1.Cl,
CID135998864,receptor.pdb,CC(C)COCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135998857,receptor.pdb,CCCCCOCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
CID135998855,receptor.pdb,COCCOCC1CNc2nc(N)[nH]c(=O)c2N1.Cl.Cl,
