complex_name,protein_path,ligand_description,protein_sequence
CID135674618,receptor.pdb,CCOCc1cnc2nc(N)[nH]c(=O)c2n1,
CID162651294,receptor.pdb,C[C@H](OS(=O)(=O)O)[C@H](O)c1cnc2nc(N)n(C)c(=O)c2n1,
CID14825209,receptor.pdb,COCCC(=O)c1cnc2c(n1)c(=O)n(C)c(=O)n2C,
CID135401454,receptor.pdb,CC(=O)Nc1nc2nc(C)cnc2c(=O)[nH]1,
CID135520106,receptor.pdb,CC(=O)O[C@@H](C)[C@H](OC(C)=O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID136846152,receptor.pdb,Nc1nc2nc(C(=O)NCC(=O)O)cnc2c(=O)[nH]1,
CID56741902,receptor.pdb,O=C(c1cncc(N2CCC(O)(CO)CC2)n1)N1CCCC1,
CID101916233,receptor.pdb,Cn1c(=O)c2nc(C(=O)CCO)cnc2n(C)c1=O,
CID135481187,receptor.pdb,Nc1nc2ncc(C(=O)C3OP(=O)(O)OCC3O)nc2c(=O)[nH]1,
CID135484652,receptor.pdb,C[C@H](O)[C@H](O)[C@@H](O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID70783063,receptor.pdb,Cc1nccnc1N1CC[C@@H](NC(=O)c2cnccn2)[C@H](O)C1,
CID162653644,receptor.pdb,C[C@@H](NC(=O)c1cnc2c(=O)[nH]c(N)nc2n1)C(=O)O,
CID135435192,receptor.pdb,C[C@@H]1CCCCC1c1cnc2c(=O)[nH]cnc2n1,
CID135894425,receptor.pdb,CC(=O)c1cnc2c(=O)[nH]c(N)nc2n1,
CID135431315,receptor.pdb,Cc1cnc2c(=O)[nH]c(N)nc2n1,
CID162648035,receptor.pdb,C[C@H](NC(=O)c1cnc2c(=O)[nH]c(N)nc2n1)C(=O)O,
CID136086941,receptor.pdb,CCC(=O)c1cnc2c(=O)[nH]c(N)nc2n1,
CID14825211,receptor.pdb,Cn1c(=O)[nH]c2ncc(C(=O)CCO)nc2c1=O,
CID22223258,receptor.pdb,NC1NC(=O)c2nc(CO)cnc2N1,
CID136416564,receptor.pdb,Nc1nc2c(c(=O)[nH]1)NCN2CC(F)CCO,
CID135423678,receptor.pdb,Cc1cnc2nc(NC(=O)C(C)(C)C)[nH]c(=O)c2n1,
CID14607479,receptor.pdb,CSc1nc2c(c(=O)n1C)N[C@H]1[C@H](O)[C@H](O)CO[C@H]1N2,
CID136450430,receptor.pdb,Nc1nc2c(c(=O)[nH]1)NCN2CC(F)(F)CC(O)CO,
CID168271739,receptor.pdb,CCC(=O)Nc1cnc(C(=O)O)cn1,
CID135566400,receptor.pdb,C[C@H]1O[C@@H](n2c(=O)[nH]c3c(=O)[nH]c(N)nc32)C[C@@H]1O,
CID135566856,receptor.pdb,C[C@H](O)[C@H](O)[C@H]1C=Nc2nc(N)[nH]c(=O)c2N1,
CID135403659,receptor.pdb,C[C@H](O)[C@H](O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID135415975,receptor.pdb,Nc1nc2ncc(CO)nc2c(=O)[nH]1,
CID135416532,receptor.pdb,Cc1cnc2nc(N)[nH]c(=O)c2n1,
CID135925131,receptor.pdb,CCCCC#Cc1cnc2nc(N)[nH]c(=O)c2n1,
CID135409352,receptor.pdb,Nc1nc2ncc(C=O)nc2c(=O)[nH]1,
CID135403803,receptor.pdb,Nc1nc2ncc(C(=O)O)nc2c(=O)[nH]1,
CID135449517,receptor.pdb,C[C@@H](O)[C@@H](O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID135398729,receptor.pdb,CC(O)C(O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID6325373,receptor.pdb,O=c1[nH]c(=O)c2nc(CO)cnc2[nH]1,
CID135447887,receptor.pdb,CC(=O)Nc1nc2ncc(C=O)nc2c(=O)[nH]1,
CID135451578,receptor.pdb,Nc1nc2ncc(COP(=O)(O)O)nc2c(=O)[nH]1,
CID135460042,receptor.pdb,Nc1nc2nc(C(=O)O)cnc2c(=O)[nH]1,
CID162659425,receptor.pdb,C[C@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID135418284,receptor.pdb,CCOCc1nc2nccnc2c(=O)[nH]1,
