complex_name,protein_path,ligand_description,protein_sequence
CID1002,receptor.pdb,O=C1NC(=O)C(c2ccccc2)N1,
CID194777,receptor.pdb,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)NO)CC(C)C,
CID2000,receptor.pdb,CC(=O)NC(Cc1ccccc1)C(=O)O,
CID123742,receptor.pdb,O=C(O)CCNC(=O)C(CS)Cc1ccccc1,
CID5464097,receptor.pdb,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,
CID5486715,receptor.pdb,O=C(O)CCNC(=O)[C@H](Cc1ccccc1)N[C@@H](Cc1ccccc1)C(=O)O,
CID3457,receptor.pdb,CCOCn1c(Cc2cc(C)cc(C)c2)c(C(C)C)c(=O)[nH]c1=O,
CID4124851,receptor.pdb,Cn1sc(=O)n(Cc2ccccc2)c1=O,
CID5464344,receptor.pdb,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,
CID16656685,receptor.pdb,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,
CID152323,receptor.pdb,O=C(O)CNC(=O)CCc1ccccc1,
CID70143,receptor.pdb,CC(=O)NCCc1ccccc1,
CID122267,receptor.pdb,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,
CID123982,receptor.pdb,C[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1)C(=O)O,
CID5485193,receptor.pdb,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O.Cl,
CID72946782,receptor.pdb,CCOC(=O)NCCCC(=O)NCCc1ccccc1,
CID91480,receptor.pdb,CCC1(c2ccccc2)NC(=O)NC1=O,
CID640429,receptor.pdb,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],
CID9886079,receptor.pdb,CC1(C)CCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O,
CID65926,receptor.pdb,NCC1CC(=O)N(Cc2ccccc2)C1,
CID6993090,receptor.pdb,N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,
CID122296,receptor.pdb,CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)B(O)O,
CID6992304,receptor.pdb,N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O,
CID65673,receptor.pdb,O=C1NC(=O)C2(N1)c1cc(F)ccc1-c1ccc(F)cc12,
CID56260,receptor.pdb,O=C1CC[C@H](NC(=O)Cc2ccccc2)C(=O)N1,
CID71475145,receptor.pdb,C=C=CCNC(=O)c1ccc(F)cc1,
CID111299,receptor.pdb,N[C@@H](CCC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)O,
CID10634426,receptor.pdb,COC[C@H](NC(C)=O)C(=O)NCc1ccccc1,
CID23649427,receptor.pdb,CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,
CID5464096,receptor.pdb,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,
CID24415,receptor.pdb,CCNCC(=O)Nc1c(C)cccc1C,
CID91649,receptor.pdb,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,
CID54684141,receptor.pdb,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,
CID38945,receptor.pdb,Cc1cccc(C)c1NC(=O)C(C)N,
CID66070,receptor.pdb,Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl,
CID92163,receptor.pdb,CCCNC(C)C(=O)Nc1ccccc1C.Cl,
CID92253,receptor.pdb,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,
CID60511,receptor.pdb,CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1,
CID4062,receptor.pdb,Cc1cccc(C)c1NC(=O)C1CCCCN1C,
CID175805,receptor.pdb,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,
