complex_name,protein_path,ligand_description,protein_sequence
CHEMBL530,receptor.pdb,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,
CHEMBL514,receptor.pdb,O=NN(CCCl)C(=O)NC1CCCCC1,
CHEMBL273575,receptor.pdb,CN1Cc2c(N)cccc2C(c2ccccc2)C1,
CHEMBL1289494,receptor.pdb,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,
CHEMBL308954,receptor.pdb,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,
CHEMBL817,receptor.pdb,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,
CHEMBL409,receptor.pdb,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,
CHEMBL316157,receptor.pdb,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,
CHEMBL979,receptor.pdb,CCCC(C)(COC(N)=O)COC(N)=O,
CHEMBL74632,receptor.pdb,CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,
CHEMBL1006,receptor.pdb,NCCCNCCSP(=O)(O)O,
CHEMBL340978,receptor.pdb,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,
CHEMBL2105675,receptor.pdb,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,
CHEMBL396778,receptor.pdb,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,
CHEMBL14370,receptor.pdb,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,
CHEMBL766,receptor.pdb,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,
CHEMBL1346,receptor.pdb,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,
CHEMBL112,receptor.pdb,CC(=O)Nc1ccc(O)cc1,
CHEMBL834,receptor.pdb,NCCC(O)(P(=O)(O)O)P(=O)(O)O,
CHEMBL501,receptor.pdb,CC(N)Cc1ccccc1.O=S(=O)(O)O,
CHEMBL1169,receptor.pdb,Nc1ccc(C(=O)O)c(O)c1,
CHEMBL3989562,receptor.pdb,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC.Cl.O.O,
CHEMBL282121,receptor.pdb,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,
CHEMBL623,receptor.pdb,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,
CHEMBL498,receptor.pdb,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,
CHEMBL162036,receptor.pdb,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,
CHEMBL1200624,receptor.pdb,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,
CHEMBL820,receptor.pdb,CS(=O)(=O)OCCCCOS(C)(=O)=O,
CHEMBL1201168,receptor.pdb,Cc1cc(C(=O)NNCc2ccccc2)no1,
CHEMBL1191,receptor.pdb,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,
CHEMBL161,receptor.pdb,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,
CHEMBL429,receptor.pdb,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,
CHEMBL46516,receptor.pdb,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,
CHEMBL723,receptor.pdb,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,
CHEMBL1534,receptor.pdb,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,
CHEMBL831,receptor.pdb,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,
CHEMBL836,receptor.pdb,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,
CHEMBL2146102,receptor.pdb,CN[C@@H](C)[C@H](O)c1ccccc1.Cl,
CHEMBL562,receptor.pdb,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,
CHEMBL56021,receptor.pdb,CC(=O)N[C@@H](CC(C)C)C(=O)O,
