complex_name,protein_path,ligand_description,protein_sequence
CID1576,receptor.pdb,CNC(C)C(=O)c1ccccc1,
CID74839,receptor.pdb,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,
CID657302,receptor.pdb,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],
CID11153014,receptor.pdb,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,
CID71567,receptor.pdb,N[C@H](Cc1ccccc1)C(=O)O,
CID56339,receptor.pdb,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,
CID65013,receptor.pdb,CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O,
CID65833,receptor.pdb,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,
CID5464343,receptor.pdb,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,
CID6917779,receptor.pdb,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,
CID3132,receptor.pdb,O=C(O)CNC(=O)C(CS)Cc1ccccc1,
CID163701,receptor.pdb,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN.Cl,
CID3775,receptor.pdb,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,
CID72060,receptor.pdb,CCC(C(=O)NC(N)=O)c1ccccc1,
CID994,receptor.pdb,NC(Cc1ccccc1)C(=O)O,
CID117761397,receptor.pdb,CC(C)n1c(=O)cc(N[C@@H](C)c2ccccc2)[nH]c1=O,
CID10391,receptor.pdb,O=C(CCCl)NCc1ccccc1,
CID11597698,receptor.pdb,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,
CID92258,receptor.pdb,NC(=O)CC[C@H](NC(=O)Cc1ccccc1)C(=O)O,
CID71992,receptor.pdb,CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,
CID6479523,receptor.pdb,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,
CID11148955,receptor.pdb,CCCC(C(=O)c1ccccc1)N1CCCC1,
CID10184529,receptor.pdb,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3C[C@H](O)CO3)c(Cc3c[nH]c4ncccc34)sc21,
CID470708,receptor.pdb,CCN1c2ncc(CSc3ccncc3)cc2C(=O)N(C)c2ccc(Cl)nc21,
CID50922681,receptor.pdb,CC(C)CCNc1ncccc1C(=O)N1CCN(Cc2ccccc2)CC1,
CID45139106,receptor.pdb,CS(=O)(=O)O.N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,
CID11315474,receptor.pdb,N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,
CID25108829,receptor.pdb,Cc1nc(-c2cccnc2)sc1C(=O)Nc1ccccc1-c1cn2c(CN3CCOCC3)csc2n1,
CID5479539,receptor.pdb,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1,
CID135413525,receptor.pdb,Nc1nc2c(Cc3cccnc3)c[nH]c2c(=O)[nH]1,
CID71234,receptor.pdb,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,
CID9952773,receptor.pdb,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,
CID25257557,receptor.pdb,Cc1cnc(CNC(=O)c2c(=O)c3ccc(N4CCCN(C)CC4)nc3n3c2sc2ccccc23)cn1,
CID120053,receptor.pdb,O=C1Nc2cccnc2N(C(=O)CCl)c2ccccc21,
CID129532613,receptor.pdb,CC(C)(NC(=O)c1cn(CCCCCF)c2ncccc12)c1ccccc1,
CID11339118,receptor.pdb,O=C(Nc1ccc(C(F)(F)F)cn1)N1CCN(c2ncccc2C(F)(F)F)CC1,
CID704473,receptor.pdb,Cc1cccc(Nc2nc(-c3ccncc3)cs2)c1,
CID9864291,receptor.pdb,CCc1cccc(C)c1CNc1cc(C(N)=O)cn2c(C)c(C)nc12,
CID23627211,receptor.pdb,CC#Cc1cncc(-c2csc([C@]3(C)CC(=O)N(C)C(N)=N3)c2)c1,
CID89655386,receptor.pdb,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,
