complex_name,protein_path,ligand_description,protein_sequence
CID11942,receptor.pdb,CC(=O)Nc1ccc(-c2ccc(NC(C)=O)cc2)cc1,
CID19998,receptor.pdb,CC(=O)Nc1ccc(-c2ccccc2)cc1,
CID42963,receptor.pdb,Cc1cccc(C)c1NC(=O)CN(CC(=O)O)CC(=O)O,
CID688020,receptor.pdb,C/C=C/C(=O)N(CC)c1ccccc1C,
CID16219577,receptor.pdb,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O,
CID27195,receptor.pdb,O=C(Nc1ccccc1)c1ccccc1I,
CID7604,receptor.pdb,CC(=O)Nc1cccc(N)c1,
CID10308,receptor.pdb,c1ccc2c(c1)CCc1ccccc1N2,
CID23537,receptor.pdb,CC(=O)Nc1ccc(C)c(Cl)c1,
CID25712,receptor.pdb,NC(=O)Nc1cccc(C(F)(F)F)c1,
CID2787703,receptor.pdb,Cc1ccccc1NC(N)=S,
CID135400457,receptor.pdb,Cc1nc2ccccc2c(=O)[nH]1,
CID7154,receptor.pdb,CC(=O)CC(=O)Nc1ccccc1C,
CID8981,receptor.pdb,CC1=CC(C)(C)Nc2ccccc21,
CID2474,receptor.pdb,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,
CID13086,receptor.pdb,Cc1cccc(C)c1NC(=O)c1ccc(N)cc1,
CID77098,receptor.pdb,CC1=CC(C)(C)Nc2ccc(-c3ccccc3)cc21,
CID164974,receptor.pdb,CCCCCCCc1cc(=O)c2ccccc2[nH]1,
CID80893,receptor.pdb,Cc1ccc(N2C(=O)C=CC2=O)cc1N1C(=O)C=CC1=O,
CID1800393,receptor.pdb,S=c1ccc2ccccc2[nH]1,
CID94776,receptor.pdb,Cc1ccccc1N1C(=O)c2ccccc2C1=O,
CID78503,receptor.pdb,O=C(Nc1cccc([N+](=O)[O-])c1)c1ccccc1,
CID2843496,receptor.pdb,CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C.Cl,
CID65743,receptor.pdb,CC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,
CID223943,receptor.pdb,CC(O)C(=O)Nc1ccccc1,
CID98889,receptor.pdb,Cc1c(O)c(=O)n(-c2ccccc2)n1C,
CID2608606,receptor.pdb,Cc1cccc(C)c1NC(=O)CN1CCNCC1,
CID439922,receptor.pdb,O=C(O)CC(=O)Nc1ccccc1C(=O)O,
CID220188,receptor.pdb,O=c1[nH]c2ccccc2c(=O)n1O,
CID255653,receptor.pdb,CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34,
CID2816621,receptor.pdb,Cc1ccnc(-n2c(=S)[nH]c3sc(C)c(C)c3c2=O)c1,
CID73565,receptor.pdb,O=C1NC(=O)C(Cc2ccccc2)N1,
CID18542136,receptor.pdb,O.O.O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,
CID818159,receptor.pdb,O=c1[nH]c2ccccc2cc1O,
CID4775,receptor.pdb,O=C(O)CCCc1ccccc1,
CID18156,receptor.pdb,O=C1C=CC(=O)N1c1cccc(N2C(=O)C=CC2=O)c1,
CID87833,receptor.pdb,Cc1cccc(C)c1NC(=O)CN,
CID7067,receptor.pdb,CCN(CCO)c1cccc(C)c1,
CID20523,receptor.pdb,O=C(CCCCC(=O)Nc1ccccc1)Nc1ccccc1,
CID11820,receptor.pdb,Cn1c(=O)ccc2ccccc21,
