complex_name,protein_path,ligand_description,protein_sequence
CHEMBL969,receptor.pdb,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,
CHEMBL1200825,receptor.pdb,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl,
CHEMBL2107726,receptor.pdb,[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1,
CHEMBL1037,receptor.pdb,N=C(N)NCC1COC2(CCCCC2)O1,
CHEMBL777,receptor.pdb,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,
CHEMBL846,receptor.pdb,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,
CHEMBL714,receptor.pdb,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,
CHEMBL715,receptor.pdb,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,
CHEMBL450,receptor.pdb,CCC1(CC)C(=O)NC(=O)N(C)C1=O,
CHEMBL8,receptor.pdb,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,
CHEMBL1564,receptor.pdb,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,
CHEMBL1605,receptor.pdb,Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,
CHEMBL871,receptor.pdb,CC(O)(P(=O)(O)O)P(=O)(O)O,
CHEMBL448,receptor.pdb,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,
CHEMBL420762,receptor.pdb,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(N(C)C)c3ccccc32)cc1,
CHEMBL315838,receptor.pdb,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,
CHEMBL3990047,receptor.pdb,CNc1ncc(-c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C)cc1C,
CHEMBL221959,receptor.pdb,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,
CHEMBL1558,receptor.pdb,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC.Cl,
CHEMBL509,receptor.pdb,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,
CHEMBL1000,receptor.pdb,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,
CHEMBL46917,receptor.pdb,CNC(=O)Oc1cccc2ccccc12,
CHEMBL22,receptor.pdb,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,
CHEMBL1200339,receptor.pdb,CNC[C@H](O)c1cccc(O)c1.Cl,
CHEMBL205596,receptor.pdb,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,
CHEMBL32,receptor.pdb,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,
CHEMBL272427,receptor.pdb,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,
CHEMBL2062163,receptor.pdb,C[C@H]1[C@H](c2ccccc2)OCCN1C.O=C(O)C(O)C(O)C(=O)O,
CHEMBL21731,receptor.pdb,CNCCCC12CCC(c3ccccc31)c1ccccc12,
CHEMBL1405,receptor.pdb,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,
CHEMBL54976,receptor.pdb,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,
CHEMBL46,receptor.pdb,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,
CHEMBL267495,receptor.pdb,CN(C(=O)/C=C/c1ccoc1)[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,
CHEMBL546,receptor.pdb,C=CCOc1ccccc1OCC(O)CNC(C)C,
CHEMBL553,receptor.pdb,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,
CHEMBL497,receptor.pdb,Oc1c(I)cc(Cl)c2cccnc12,
CHEMBL296419,receptor.pdb,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,
CHEMBL223228,receptor.pdb,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,
CHEMBL1419,receptor.pdb,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,
CHEMBL1475,receptor.pdb,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,
