complex_name,protein_path,ligand_description,protein_sequence
CID136631904,receptor.pdb,CC(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID136630928,receptor.pdb,C[C@@H]1Nc2nc(N)[nH]c(=O)c2N=C1[C@@H](C)O,
CID136654272,receptor.pdb,CC(O)C(O)C1CNc2c(nc(N)[nH]c2=O)N1Br,
CID137288071,receptor.pdb,CCOC(=O)C(O)Cc1nc2c(=O)[nH]c(N)nc2[nH]c1=O,
CID135566048,receptor.pdb,Cn1c(=O)c(CO)nc2c(=O)[nH]c(N)nc21,
CID135616714,receptor.pdb,CC(O)C(=O)C1=CNc2nc(N)[nH]c(=O)c2N1,
CID135886624,receptor.pdb,CCC(O)c1nc2c(=O)[nH]c(N)nc2n(C)c1=O,
CID136032590,receptor.pdb,C[C@H](O)[C@H](O)C1CNc2c(nc(N)[nH]c2=O)N1,
CID136047357,receptor.pdb,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2[N]1,
CID136948348,receptor.pdb,C[C@H](O)C(O)[C@@H]1CNc2nc[nH]c(=O)c2N1,
CID135423179,receptor.pdb,CC(O)CC1=Nc2c(nc(N)[nH]c2=O)N(C)C1,
CID135601389,receptor.pdb,C[C@@H](O)[C@H](O)[C@@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID439706,receptor.pdb,CC(O)C(=O)C1=Nc2c([nH]c(=O)[nH]c2=O)NC1,
CID135703419,receptor.pdb,CCC(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID135428690,receptor.pdb,CC1(C)Nc2nc(N)[nH]c(=O)c2N=C1CO,
CID135789693,receptor.pdb,Cc1cnc2nc(C)[nH]c(=O)c2n1,
CID135399180,receptor.pdb,Cc1nc2nc(N)[nH]c(=O)c2nc1C,
CID656921,receptor.pdb,C[C@@H](O)[C@@H](O)c1cnc(N=C(N)N)cn1,
CID135566232,receptor.pdb,C[C@@H](O)C(=O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID135566469,receptor.pdb,C[n+]1cc(C(=O)O)nc2c(=O)[nH]c(N)nc21,
CID135566471,receptor.pdb,C[n+]1cc(CC(C)(C)O)nc2c(=O)[nH]c(N)nc21,
CID135566895,receptor.pdb,C/C(O)=C(/O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID135566917,receptor.pdb,CC(=O)Nc1nc2ncc(CN)nc2c(=O)[nH]1,
CID166174552,receptor.pdb,CC[C@@H](NC(=O)c1cnc2c(=O)[nH]c(N)nc2n1)C(=O)O,
CID10774595,receptor.pdb,Cn1c(N)nc2ncc(C=O)nc2c1=O,
CID90838361,receptor.pdb,CCN(C=Nc1nc(=O)c2nc(C=O)cnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)CC,
CID129632094,receptor.pdb,CC(O)C(=O)N1c2nccnc2C(=O)NC1N,
CID136102981,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N=C(C=O)CN2,
CID129661422,receptor.pdb,NC1NC(=O)c2nc(C(=O)O)cnc2N1,
CID135490944,receptor.pdb,CC(=O)Nc1nc2ncc([C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)nc2c(=O)[nH]1,
CID135748741,receptor.pdb,COC(=O)c1cnc2nc(N)[nH]c(=O)c2n1,
CID135894424,receptor.pdb,COC(=O)c1cnc2c(=O)[nH]c(N)nc2n1,
CID136250516,receptor.pdb,CN(C)C=Nc1nc2ncc(C=O)nc2c(=O)[nH]1,
CID135398568,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2,
CID135488841,receptor.pdb,CN1CC(C(=O)O)=Nc2c1nc(N)[nH]c2=O,
CID162674828,receptor.pdb,C[C@H](O)[C@H](O)c1nc2c(=O)nc(N)n(C)c2[nH]c1=O,
CID135911932,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H]1COP(=O)(O)O1)CN2,
CID163189055,receptor.pdb,C[C@H](O)C(=O)C1=Nc2c([nH]c(=O)[nH]c2=O)NC1,
CID135398683,receptor.pdb,CC(=O)C1=Nc2c(nc(N)[nH]c2=O)NCC1,
CID136180738,receptor.pdb,CN1CC(CC(C)(C)O)=Nc2c1nc(N)[nH]c2=O,
