complex_name,protein_path,ligand_description,protein_sequence
CID135398660,receptor.pdb,Nc1nc2nccnc2c(=O)[nH]1,
CID57391005,receptor.pdb,Cl.NC(N)=NC(=O)c1nc(Cl)cnc1N,
CID4115605,receptor.pdb,CCN1CCN(C(=O)c2cnccn2)CC1,
CID2810674,receptor.pdb,Cc1cnc(C(=O)Nc2nn[nH]n2)cn1,
CID1240109,receptor.pdb,NNC(=O)c1nccnc1N,
CID124322,receptor.pdb,O=c1c2[nH]cnc2[nH]c2nccn12,
CID135566720,receptor.pdb,Nc1nc2nc(C(=O)NCc3cn[nH]n3)cnc2c(=O)[nH]1,
CID136025898,receptor.pdb,NC(=O)c1cnc2c(=O)[nH]c(N)nc2n1,
CID3080607,receptor.pdb,Nc1nc(N)c2nc(C=O)cnc2n1,
CID135422156,receptor.pdb,Cn1c[n+](C)c2nc(N)[nH]c(=O)c21,
CID1535061,receptor.pdb,O=C(NCN1CCN(CCO)CC1)c1cnccn1,
CID8933679,receptor.pdb,Cc1cnc(C(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)cn1,
CID8933965,receptor.pdb,CCCCN(C(=O)c1cnc(C)cn1)c1c(N)n(CCC)c(=O)[nH]c1=O,
CID9392264,receptor.pdb,CCCCn1c(N)c(N(CC)C(=O)c2cnc(C)cn2)c(=O)[nH]c1=O,
CID822194,receptor.pdb,CSc1cnc2c(=O)[nH]c(=O)n(C)c2n1,
CID822207,receptor.pdb,CSc1cnc2c(=O)n(C)c(=O)[nH]c2n1,
CID3233743,receptor.pdb,CCNc1ncc2nc(C)c(=O)n(C)c2n1,
CID5409408,receptor.pdb,Cc1nc2[nH]c(=S)n(C)c(=O)c2nc1C,
CID9948975,receptor.pdb,CCCn1c(=O)n(CCCC(=O)OCC)c(=O)c2nccnc21,
CID24687261,receptor.pdb,CCCCn1c(N)c(N(CCOC)C(=O)c2cnccn2)c(=O)[nH]c1=O,
CID25477289,receptor.pdb,CCCCCc1nnc(NC(=O)c2nccnc2N)s1,
CID76321163,receptor.pdb,CCCCCCCCNc1cncc(C(N)=O)n1,
CID136266906,receptor.pdb,NCCCNCCCNCCCn1cnc2c(=O)[nH]c(N)nc21,
CID162647820,receptor.pdb,Nc1nc2nc(C(=O)NCCCCCC(=O)O)cnc2c(=O)[nH]1,
CID379344,receptor.pdb,COc1nc2nccnc2c(=O)n1C,
CID361518,receptor.pdb,NC(=O)c1ncn2c1NC(=O)CC2,
CID10608627,receptor.pdb,CN1c2nccnc2C(N)=NS1(=O)=O,
CID24939081,receptor.pdb,CN(CCc1cnc[nH]1)c1cnc2[nH]c(=O)[nH]c(=O)c2n1,
CID457575,receptor.pdb,NC(=O)c1cncc(-n2cncn2)n1,
CID470905,receptor.pdb,CN(C)C(=O)c1cnccn1,
CID470914,receptor.pdb,O=C(NCO)c1cnccn1,
CID480006,receptor.pdb,O=C(NCN1CCCC1)c1cnccn1,
CID501378,receptor.pdb,CN1CCN(CNC(=O)c2cnccn2)CC1,
CID10820748,receptor.pdb,CNC(=O)c1nccnc1N,
CID3314397,receptor.pdb,CCCn1cnc2c1c(=O)[nH]c(=O)n2C,
CID136504209,receptor.pdb,CCCCCCCCCC1=Nc2c(nc(N)[nH]c2=O)NC1,
CID163191181,receptor.pdb,C[C@@H](O)C(=O)C1=Nc2c([nH]c(=O)[nH]c2=O)NC1,
CID135911931,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H]1COP(=O)([O-])O1)CN2,
CID137235203,receptor.pdb,CC(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1C,
CID171384274,receptor.pdb,CC(=O)CC1=Nc2c(nc(N)[nH]c2=O)N(C)C1,
