complex_name,protein_path,ligand_description,protein_sequence
CID3071941,receptor.pdb,O=c1c2c(ncn2Cc2ccccc2)c2cccnc2n1-c1ccccc1,
CID713448,receptor.pdb,CCn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3,
CID777977,receptor.pdb,O=C(NNC(=O)c1cccs1)c1ccncc1,
CID37560,receptor.pdb,Nc1ccc(C(=O)Nc2nc3ccccc3s2)cc1,
CID121006,receptor.pdb,Cn1c(=O)c2[nH]c(-c3ccncc3)nc2n(C)c1=O,
CID202725,receptor.pdb,O=C(Nc1cccnc1)c1cccnc1,
CID453331,receptor.pdb,CCN1c2ncccc2C(=O)Nc2c(C)ccnc21,
CID68277611,receptor.pdb,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,
CID72889,receptor.pdb,O=C(NCc1ccccc1)NCc1ccccc1,
CID16097729,receptor.pdb,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21.O=P(O)(O)O.O=P(O)(O)O,
CID91585,receptor.pdb,O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,
CID71417,receptor.pdb,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1.Cl,
CID2015,receptor.pdb,O=c1c2ccccc2[nH]c2ccccc12,
CID11560224,receptor.pdb,O=c1cc(C(F)(F)F)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1,
CID68482,receptor.pdb,O=C(Nc1ccccc1C(=O)O)c1ccccc1,
CID16750192,receptor.pdb,C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,
CID152031,receptor.pdb,CCNC(=O)[C@@H](C)OC(=O)Nc1ccccc1,
CID69088,receptor.pdb,Cc1cc(=O)[nH]c2ccccc12,
CID16616,receptor.pdb,CC(=O)Nc1c(C)cccc1C,
CID94411,receptor.pdb,CC(C)NC(=O)c1ccccc1N,
CID16303,receptor.pdb,CC(=O)Nc1ccc(C)cc1C,
CID12884,receptor.pdb,O=C1C(=O)N(c2ccccc2)c2ccccc21,
CID10378,receptor.pdb,O=C(O)C(=O)Nc1ccccc1,
CID11485,receptor.pdb,O=C(CCl)Nc1ccccc1,
CID7592,receptor.pdb,CC(=O)CC(=O)Nc1ccccc1,
CID8805,receptor.pdb,CC(=O)Nc1ccc(C(=O)CCl)cc1,
CID83648,receptor.pdb,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,
CID222464,receptor.pdb,CC(=O)CC(=O)Nc1ccc(C)cc1C,
CID12028,receptor.pdb,CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,
CID5475158,receptor.pdb,CN(C)CCCSc1ccccc1NC(=O)/C=C/c1ccccc1,
CID28749,receptor.pdb,CC1=C(C(=O)Nc2ccccc2)S(=O)CCO1,
CID42725,receptor.pdb,Nc1ccc(C(=O)Nc2ccccc2N)cc1,
CID13662,receptor.pdb,O=C1C=CC(=O)N1c1ccccc1,
CID1884,receptor.pdb,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1,
CID6918848,receptor.pdb,CC(C)[C@H](C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,
CID11321,receptor.pdb,CC(=O)N1C(=O)C(=O)c2ccccc21,
CID34210,receptor.pdb,CC(=O)Nc1cccc2c1-c1ccccc1C2,
CID96338,receptor.pdb,CCc1cccc(CC)c1NC(=O)CCl,
CID15842092,receptor.pdb,CCc1cccc(C)c1N(C(=O)C(=O)O)C(C)COC,
CID27491,receptor.pdb,O=c1[nH]c2ccccc2[nH]c1=O,
