complex_name,protein_path,ligand_description,protein_sequence
CID135439473,receptor.pdb,CC(C)(C)C(=O)Nc1nc2ncc(C=O)nc2c(=O)[nH]1,
CID136759990,receptor.pdb,CC(C)CNc1nc2ncc(C=O)nc2c(=O)[nH]1,
CID136433522,receptor.pdb,COC1Nc2nc(N)[nH]c(=O)c2NC1C(O)C(C)=O,
CID136433530,receptor.pdb,CC(=O)Nc1nc2c(c(=O)[nH]1)N(C(C)=O)C(C(O)C(C)=O)C=N2,
CID136473823,receptor.pdb,CC[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID136491681,receptor.pdb,CC(=O)[C@@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,
CID136499179,receptor.pdb,CC(=O)Nc1nc2c(c(=O)[nH]1)N[C@@H]([C@@H](O)[C@H](C)O)CN2,
CID136592864,receptor.pdb,CC(=O)[C@H](O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID136599212,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N=C(C(=O)CCO)CN2,
CID136619696,receptor.pdb,CC(=O)Nc1nc2c(c(=O)[nH]1)N=C([C@@H](O)[C@H](C)O)CN2,
CID136619821,receptor.pdb,COOC(C(=O)C1CNc2nc(N)[nH]c(=O)c2N1)C(C)C,
CID136622493,receptor.pdb,CNc1nc2c(c(=O)[nH]1)N[C@@H]([C@@H](O)[C@H](C)O)CN2,
CID136638714,receptor.pdb,CC[C@H](O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID136948351,receptor.pdb,C[C@H](O)C(=O)[C@@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID136948352,receptor.pdb,C[C@@H](O)C(=O)[C@@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID136948353,receptor.pdb,C[C@@H](O)C(=O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,
CID136967478,receptor.pdb,CC[C@H](O)C1=Nc2c(nc(NC(C)=O)[nH]c2=O)NC1,
CID136967479,receptor.pdb,CCCC(O)C1CNc2nc(N)[nH]c(=O)c2N1,
CID136967481,receptor.pdb,CC(=O)Nc1nc2c(c(=O)[nH]1)N=C([C@@H](O)C(C)N)CN2,
CID136967482,receptor.pdb,CC[C@H](O)C(=O)CNc1nc(NC(C)=O)[nH]c(=O)c1[N+](=O)[O-],
CID10250,receptor.pdb,O=c1[nH]c(=O)c2nccnc2[nH]1,
CID72669,receptor.pdb,COC(=O)c1nccnc1N,
CID135398679,receptor.pdb,Cn1cnc2nc(N)[nH]c(=O)c21,
CID70374,receptor.pdb,O=C(NCN1CCOCC1)c1cnccn1,
CID136425839,receptor.pdb,CC(=O)C(O)C1C=Nc2nc(N)[nH]c(=O)c2N1,
CID136424472,receptor.pdb,Nc1nc2c(c(=O)[nH]1)NC(CC(=O)CO)C=N2,
CID136426067,receptor.pdb,CC(=O)Nc1c(NCCCCO)nc(N)[nH]c1=O,
CID135526949,receptor.pdb,CCCC1=Nc2c(nc(N)[nH]c2=O)NC1,
CID135526983,receptor.pdb,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1C,
CID135621918,receptor.pdb,CC(O)C(O)C1CNc2c(nc(N)[nH]c2=O)N1.Cl.Cl,
CID181450,receptor.pdb,NC(=O)c1cnc(Cl)cn1,
CID135733780,receptor.pdb,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(P)P)CN2,
CID135848410,receptor.pdb,O=c1[nH]c(NI)nc2c1N=C(CO)CN2,
CID135914682,receptor.pdb,CCCC(=O)N1c2c(nc(N)[nH]c2=O)NC[C@@H]1[C@@H](O)[C@H](C)O,
CID135949550,receptor.pdb,Nc1nc2c(c(=O)[nH]1)NC(CCCO)CN2,
CID135976727,receptor.pdb,COC1Nc2nc(N)[nH]c(=O)c2NC1C(=O)C(C)O,
CID136014062,receptor.pdb,COC1Nc2nc(NC(C)=O)[nH]c(=O)c2N(C(C)=O)C1C(=O)C(C)O,
CID136424466,receptor.pdb,COC1Nc2nc(N)[nH]c(=O)c2NC1CC(=O)CO,
CID162980666,receptor.pdb,CC[C@@H](O)c1nc2c(=O)[nH]c(N)nc2n(C)c1=O,
CID136058974,receptor.pdb,C[C@@H](O)[C@@H](O)[C@@H]1CNc2nc(N)[nH]c(=O)c2N1,
