complex_name,protein_path,ligand_description,protein_sequence
CHEMBL2104180,receptor.pdb,Cc1cc(C)c(C2CCCCC2)c(O)c1,
CHEMBL2104144,receptor.pdb,COC1(C)CC(c2ccccc2)c2c(c3ccccc3oc2=O)O1,
CHEMBL3544537,receptor.pdb,Oc1ccc(C(c2ccc(O)cc2)c2ccccn2)cc1,
CHEMBL2110903,receptor.pdb,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,
CHEMBL112687,receptor.pdb,CC(=O)Nc1ccc(C(=O)O)cc1,
CHEMBL2105976,receptor.pdb,CC(C)NCC(O)COc1ccc(OCCOCC2CC2)cc1.Cl,
CHEMBL2104835,receptor.pdb,CCC(C)C(C(=O)OC1CCN(C)CC1)c1ccccc1,
CHEMBL303933,receptor.pdb,Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1,
CHEMBL1971943,receptor.pdb,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,
CHEMBL1716983,receptor.pdb,C[n+]1ccc(C(=O)NCc2ccccc2)cc1.[I-],
CHEMBL593262,receptor.pdb,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nccs2)cc1,
CHEMBL1620144,receptor.pdb,CNC(=O)OCc1cccc(COC(=O)NC)n1,
CHEMBL1416586,receptor.pdb,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,
CHEMBL1200479,receptor.pdb,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl,
CHEMBL1788402,receptor.pdb,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,
CHEMBL459008,receptor.pdb,CCCCOC(=O)c1ccc(O)cc1,
CHEMBL1368146,receptor.pdb,O=C(O)c1ccc(S(=O)(=O)N(Cl)Cl)cc1,
CHEMBL608806,receptor.pdb,CCOC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C,
CHEMBL2064455,receptor.pdb,Nc1ccn([C@@H]2C(F)=C(CO)[C@@H](O)[C@H]2O)c(=O)n1,
CHEMBL3301665,receptor.pdb,CC(=O)[N-]S(=O)(=O)c1cc(N)ccc1S(=O)(=O)c1ccc(N)cc1.[Na+],
CHEMBL2106957,receptor.pdb,C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1C,
CHEMBL417546,receptor.pdb,Cc1ccc(S(=O)(=O)NN=C(N)N)cc1,
CHEMBL2106223,receptor.pdb,C[N+]1(CC2COC(c3ccccc3)(c3ccccc3)O2)CCCCC1.[I-],
CHEMBL747,receptor.pdb,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,
CHEMBL50889,receptor.pdb,COc1ccc(S(=O)(=O)NN=C(N)N)cc1,
CHEMBL1088016,receptor.pdb,[NH-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],
CHEMBL1080588,receptor.pdb,FC(F)c1ncn2c1Cn1ncnc1-c1cc(Br)ccc1-2,
CHEMBL141305,receptor.pdb,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,
CHEMBL2219733,receptor.pdb,C1CNCCN1.O=P(O)(O)O,
CHEMBL2152944,receptor.pdb,O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(OC[C@H](O)CO)cc21,
CHEMBL599870,receptor.pdb,C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,
CHEMBL3707214,receptor.pdb,O=C(ON1CCOCC1)c1ccccc1O,
CHEMBL26630,receptor.pdb,Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1C,
CHEMBL740,receptor.pdb,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C=O)CC3)cc21,
CHEMBL4802144,receptor.pdb,C=CC[C@@]12CCCN1C(=O)CNC2=O,
CHEMBL1200621,receptor.pdb,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN.CS(=O)(=O)O,
CHEMBL432326,receptor.pdb,N=C(N)NNS(=O)(=O)c1cccc(N)c1,
CHEMBL486873,receptor.pdb,COP(=O)(CNC1(C(=O)O)CCCC1)OC,
CHEMBL2107180,receptor.pdb,C[S+](C)CCOC(=O)C(c1ccccc1)C1CCCCC1.[I-],
CHEMBL314083,receptor.pdb,c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,
