compound_id,safe_id,smiles,category,mw,logp,source
CID68801,CID68801,Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,academic_HTS_hit,344.41,4.36,pubchem
CID453338,CID453338,O=C1Nc2c(CO)ccnc2N(C2CC2)c2ncccc21,academic_HTS_hit,282.3,1.84,pubchem
CID72024,CID72024,O=C1c2ccccc2S(=O)(=O)N1CCCN1CCN(c2ncccn2)CC1,academic_HTS_hit,387.47,0.83,pubchem
CID16043304,CID16043304,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1,academic_HTS_hit,436.37,3.85,pubchem
CID936046,CID936046,Nc1nc(Nc2ccccc2)sc1C(=O)c1ccccc1,academic_HTS_hit,295.37,3.7,pubchem
CID9817550,CID9817550,Nc1nccc(-c2c3c(=O)cc[nH]c3n3c(N)nccc23)n1,academic_HTS_hit,293.29,0.8,pubchem
CID126487,CID126487,O=c1c2[nH]cnc2c2cccnc2n1-c1ccccc1,academic_HTS_hit,262.27,2.26,pubchem
CID1936439,CID1936439,N#Cc1c2nc3ccccc3nc2n2ccc(NC(=O)c3cccs3)cc12,academic_HTS_hit,369.41,4.22,pubchem
CID118279413,CID118279413,CCCC[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cnc(N2CCN(C)CC2)s1,academic_HTS_hit,425.6,3.91,pubchem
CID129989,CID129989,CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,academic_HTS_hit,463.63,4.54,pubchem
CID16660135,CID16660135,CC(C)Nc1cc(-c2csc(N(C)C(=O)c3ccc(F)cc3)n2)ncn1,academic_HTS_hit,371.44,3.84,pubchem
CID225470,CID225470,Nc1ccc(C(=O)Nc2nccs2)cc1,academic_HTS_hit,219.27,1.98,pubchem
CID24752865,CID24752865,Nc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)nc1,academic_HTS_hit,281.24,2.93,pubchem
CID81976,CID81976,Nc1ccc(C(=O)Nc2ccccn2)cc1,academic_HTS_hit,213.24,1.92,pubchem
CID3059529,CID3059529,Nc1ccc(C(=O)NO)cn1,academic_HTS_hit,153.14,-0.22,pubchem
CID24180707,CID24180707,CN(C)CCN(Cc1ccsc1)c1ccccn1.Cl,academic_HTS_hit,297.85,3.13,pubchem
CID3071941,CID3071941,O=c1c2c(ncn2Cc2ccccc2)c2cccnc2n1-c1ccccc1,academic_HTS_hit,352.4,3.78,pubchem
CID713448,CID713448,CCn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3,academic_HTS_hit,266.39,3.02,pubchem
CID777977,CID777977,O=C(NNC(=O)c1cccs1)c1ccncc1,academic_HTS_hit,247.28,1.22,pubchem
CID37560,CID37560,Nc1ccc(C(=O)Nc2nc3ccccc3s2)cc1,academic_HTS_hit,269.33,3.13,pubchem
CID121006,CID121006,Cn1c(=O)c2[nH]c(-c3ccncc3)nc2n(C)c1=O,academic_HTS_hit,257.25,0.02,pubchem
CID202725,CID202725,O=C(Nc1cccnc1)c1cccnc1,academic_HTS_hit,199.21,1.73,pubchem
CID453331,CID453331,CCN1c2ncccc2C(=O)Nc2c(C)ccnc21,academic_HTS_hit,254.29,2.51,pubchem
CID68277611,CID68277611,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,academic_HTS_hit,427.43,3.38,pubchem
CID72889,CID72889,O=C(NCc1ccccc1)NCc1ccccc1,academic_HTS_hit,240.31,2.69,pubchem
CID16097729,CID16097729,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21.O=P(O)(O)O.O=P(O)(O)O,academic_HTS_hit,569.45,2.19,pubchem
CID91585,CID91585,O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,academic_HTS_hit,244.25,0.45,pubchem
CID71417,CID71417,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1.Cl,academic_HTS_hit,313.83,2.14,pubchem
CID2015,CID2015,O=c1c2ccccc2[nH]c2ccccc12,academic_HTS_hit,195.22,2.68,pubchem
CID11560224,CID11560224,O=c1cc(C(F)(F)F)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1,academic_HTS_hit,392.22,4.48,pubchem
CID68482,CID68482,O=C(Nc1ccccc1C(=O)O)c1ccccc1,academic_HTS_hit,241.25,2.64,pubchem
CID16750192,CID16750192,C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,academic_HTS_hit,394.32,3.83,pubchem
CID152031,CID152031,CCNC(=O)[C@@H](C)OC(=O)Nc1ccccc1,academic_HTS_hit,236.27,1.76,pubchem
CID69088,CID69088,Cc1cc(=O)[nH]c2ccccc12,academic_HTS_hit,159.19,1.84,pubchem
CID16616,CID16616,CC(=O)Nc1c(C)cccc1C,academic_HTS_hit,163.22,2.26,pubchem
CID94411,CID94411,CC(C)NC(=O)c1ccccc1N,academic_HTS_hit,178.24,1.41,pubchem
CID16303,CID16303,CC(=O)Nc1ccc(C)cc1C,academic_HTS_hit,163.22,2.26,pubchem
CID12884,CID12884,O=C1C(=O)N(c2ccccc2)c2ccccc21,academic_HTS_hit,223.23,2.55,pubchem
CID10378,CID10378,O=C(O)C(=O)Nc1ccccc1,academic_HTS_hit,165.15,0.71,pubchem
CID11485,CID11485,O=C(CCl)Nc1ccccc1,academic_HTS_hit,169.61,1.86,pubchem
CID7592,CID7592,CC(=O)CC(=O)Nc1ccccc1,academic_HTS_hit,177.2,1.6,pubchem
CID8805,CID8805,CC(=O)Nc1ccc(C(=O)CCl)cc1,academic_HTS_hit,211.65,2.07,pubchem
CID83648,CID83648,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,academic_HTS_hit,358.35,2.14,pubchem
CID222464,CID222464,CC(=O)CC(=O)Nc1ccc(C)cc1C,academic_HTS_hit,205.26,2.22,pubchem
CID12028,CID12028,CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,academic_HTS_hit,248.37,2.89,pubchem
CID5475158,CID5475158,CN(C)CCCSc1ccccc1NC(=O)/C=C/c1ccccc1,academic_HTS_hit,340.49,4.38,pubchem
CID28749,CID28749,CC1=C(C(=O)Nc2ccccc2)S(=O)CCO1,academic_HTS_hit,251.31,1.64,pubchem
CID42725,CID42725,Nc1ccc(C(=O)Nc2ccccc2N)cc1,academic_HTS_hit,227.27,2.1,pubchem
CID13662,CID13662,O=C1C=CC(=O)N1c1ccccc1,academic_HTS_hit,173.17,1.12,pubchem
CID1884,CID1884,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1,academic_HTS_hit,223.61,1.88,pubchem
CID6918848,CID6918848,CC(C)[C@H](C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,academic_HTS_hit,312.37,3.18,pubchem
CID11321,CID11321,CC(=O)N1C(=O)C(=O)c2ccccc21,academic_HTS_hit,189.17,0.76,pubchem
CID34210,CID34210,CC(=O)Nc1cccc2c1-c1ccccc1C2,academic_HTS_hit,223.27,3.22,pubchem
CID96338,CID96338,CCc1cccc(CC)c1NC(=O)CCl,academic_HTS_hit,225.72,2.99,pubchem
CID15842092,CID15842092,CCc1cccc(C)c1N(C(=O)C(=O)O)C(C)COC,academic_HTS_hit,279.34,2.01,pubchem
CID27491,CID27491,O=c1[nH]c2ccccc2[nH]c1=O,academic_HTS_hit,162.15,0.22,pubchem
CID11942,CID11942,CC(=O)Nc1ccc(-c2ccc(NC(C)=O)cc2)cc1,academic_HTS_hit,268.32,3.27,pubchem
CID19998,CID19998,CC(=O)Nc1ccc(-c2ccccc2)cc1,academic_HTS_hit,211.26,3.31,pubchem
CID42963,CID42963,Cc1cccc(C)c1NC(=O)CN(CC(=O)O)CC(=O)O,academic_HTS_hit,294.31,0.71,pubchem
CID688020,CID688020,C/C=C/C(=O)N(CC)c1ccccc1C,academic_HTS_hit,203.28,2.92,pubchem
CID16219577,CID16219577,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O,academic_HTS_hit,288.82,2.18,pubchem
CID27195,CID27195,O=C(Nc1ccccc1)c1ccccc1I,academic_HTS_hit,323.13,3.54,pubchem
CID7604,CID7604,CC(=O)Nc1cccc(N)c1,academic_HTS_hit,150.18,1.23,pubchem
CID10308,CID10308,c1ccc2c(c1)CCc1ccccc1N2,academic_HTS_hit,195.26,3.53,pubchem
CID23537,CID23537,CC(=O)Nc1ccc(C)c(Cl)c1,academic_HTS_hit,183.64,2.61,pubchem
CID25712,CID25712,NC(=O)Nc1cccc(C(F)(F)F)c1,academic_HTS_hit,204.15,2.2,pubchem
CID2787703,CID2787703,Cc1ccccc1NC(N)=S,academic_HTS_hit,166.25,1.65,pubchem
CID135400457,CID135400457,Cc1nc2ccccc2c(=O)[nH]1,academic_HTS_hit,160.18,1.23,pubchem
CID7154,CID7154,CC(=O)CC(=O)Nc1ccccc1C,academic_HTS_hit,191.23,1.91,pubchem
CID8981,CID8981,CC1=CC(C)(C)Nc2ccccc21,academic_HTS_hit,173.26,3.29,pubchem
CID2474,CID2474,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,academic_HTS_hit,288.44,3.9,pubchem
CID13086,CID13086,Cc1cccc(C)c1NC(=O)c1ccc(N)cc1,academic_HTS_hit,240.31,3.14,pubchem
CID77098,CID77098,CC1=CC(C)(C)Nc2ccc(-c3ccccc3)cc21,academic_HTS_hit,249.36,4.96,pubchem
CID164974,CID164974,CCCCCCCc1cc(=O)c2ccccc2[nH]1,academic_HTS_hit,243.35,4.04,pubchem
CID80893,CID80893,Cc1ccc(N2C(=O)C=CC2=O)cc1N1C(=O)C=CC1=O,academic_HTS_hit,282.26,0.85,pubchem
CID1800393,CID1800393,S=c1ccc2ccccc2[nH]1,academic_HTS_hit,161.23,2.9,pubchem
CID94776,CID94776,Cc1ccccc1N1C(=O)c2ccccc2C1=O,academic_HTS_hit,237.26,2.8,pubchem
CID78503,CID78503,O=C(Nc1cccc([N+](=O)[O-])c1)c1ccccc1,academic_HTS_hit,242.23,2.85,pubchem
CID2843496,CID2843496,CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C.Cl,academic_HTS_hit,284.83,3.31,pubchem
CID65743,CID65743,CC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,academic_HTS_hit,245.28,1.44,pubchem
CID223943,CID223943,CC(O)C(=O)Nc1ccccc1,academic_HTS_hit,165.19,1.01,pubchem
CID98889,CID98889,Cc1c(O)c(=O)n(-c2ccccc2)n1C,academic_HTS_hit,204.23,1.19,pubchem
CID2608606,CID2608606,Cc1cccc(C)c1NC(=O)CN1CCNCC1,academic_HTS_hit,247.34,1.15,pubchem
CID439922,CID439922,O=C(O)CC(=O)Nc1ccccc1C(=O)O,academic_HTS_hit,223.18,0.8,pubchem
CID220188,CID220188,O=c1[nH]c2ccccc2c(=O)n1O,academic_HTS_hit,178.15,-0.07,pubchem
CID255653,CID255653,CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34,academic_HTS_hit,259.31,4.54,pubchem
CID2816621,CID2816621,Cc1ccnc(-n2c(=S)[nH]c3sc(C)c(C)c3c2=O)c1,academic_HTS_hit,303.41,3.43,pubchem
CID73565,CID73565,O=C1NC(=O)C(Cc2ccccc2)N1,academic_HTS_hit,190.2,0.44,pubchem
CID18542136,CID18542136,O.O.O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,academic_HTS_hit,338.27,0.34,pubchem
CID818159,CID818159,O=c1[nH]c2ccccc2cc1O,academic_HTS_hit,161.16,1.23,pubchem
CID4775,CID4775,O=C(O)CCCc1ccccc1,academic_HTS_hit,164.2,2.09,pubchem
CID18156,CID18156,O=C1C=CC(=O)N1c1cccc(N2C(=O)C=CC2=O)c1,academic_HTS_hit,268.23,0.55,pubchem
CID87833,CID87833,Cc1cccc(C)c1NC(=O)CN,academic_HTS_hit,178.23,1.2,pubchem
CID7067,CID7067,CCN(CCO)c1cccc(C)c1,academic_HTS_hit,179.26,1.81,pubchem
CID20523,CID20523,O=C(CCCCC(=O)Nc1ccccc1)Nc1ccccc1,academic_HTS_hit,296.37,3.82,pubchem
CID11820,CID11820,Cn1c(=O)ccc2ccccc21,academic_HTS_hit,159.19,1.54,pubchem
CID14569,CID14569,Cc1cccc(Nc2ccccc2)c1,academic_HTS_hit,183.25,3.74,pubchem
CID135403814,CID135403814,Nc1nc2ccccc2c(=O)[nH]1,academic_HTS_hit,161.16,0.51,pubchem
CID27689,CID27689,CCNC(=O)C(C)OC(=O)Nc1ccccc1,academic_HTS_hit,236.27,1.76,pubchem
CID24361,CID24361,Cc1cccc(C)c1NC(=O)CN1CCCC1,academic_HTS_hit,232.33,2.34,pubchem
CID3925,CID3925,CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C,academic_HTS_hit,263.41,3.12,pubchem
CID95019,CID95019,CC(=O)Nc1ccc([As](=O)(O)O)cc1,academic_HTS_hit,259.09,-0.79,pubchem
CID5091716,CID5091716,O=C(Nc1ccccc1C(=O)[O-])c1ccccc1,academic_HTS_hit,240.24,1.3,pubchem
CID155385,CID155385,CC(C)N(C(=O)C(=O)O)c1ccccc1,academic_HTS_hit,207.23,1.51,pubchem
CID14924483,CID14924483,CCc1cccc(CC)c1N(COC)C(=O)C(=O)O,academic_HTS_hit,265.31,1.83,pubchem
CID16212222,CID16212222,CC(C)N(C(=O)C(=O)O)c1ccc(F)cc1,academic_HTS_hit,225.22,1.65,pubchem
CID18787,CID18787,CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,academic_HTS_hit,226.28,2.89,pubchem
CID7591,CID7591,CCOC(=O)Nc1ccccc1,academic_HTS_hit,165.19,2.26,pubchem
CID8641,CID8641,Nc1cccc(-n2ccccc2=O)c1,academic_HTS_hit,186.21,1.42,pubchem
CID62370,CID62370,CCC(=O)N(CC(C)N(C)CCc1ccccc1)c1ccccc1,academic_HTS_hit,324.47,3.99,pubchem
CID54677977,CID54677977,CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,academic_HTS_hit,270.21,3.0,pubchem
CID14313,CID14313,Cc1cccc2c1NC(=O)C2=O,academic_HTS_hit,161.16,1.13,pubchem
CID26384,CID26384,Cc1nc2ccccc2[nH]c1=O,academic_HTS_hit,160.18,1.23,pubchem
CID88043,CID88043,Cc1ccc(C(N)=O)cc1N,academic_HTS_hit,150.18,0.68,pubchem
CID7691,CID7691,CC(=O)Nc1ccc([N+](=O)[O-])cc1,academic_HTS_hit,180.16,1.55,pubchem
CID7106,CID7106,c1ccc2c(c1)Cc1ccccc1N2,academic_HTS_hit,181.24,3.33,pubchem
CID26219,CID26219,N#CC1C=Cc2ccccc2N1C(=O)c1ccccc1,academic_HTS_hit,260.3,3.25,pubchem
CID10382,CID10382,O=C(CS)Nc1ccccc1,academic_HTS_hit,167.23,1.55,pubchem
CID87146,CID87146,Cc1ccc(NC(=O)N(C)C)cc1NC(=O)N(C)C,academic_HTS_hit,264.33,2.18,pubchem
CID54680871,CID54680871,O=c1cc(O)c2ccccc2[nH]1,academic_HTS_hit,161.16,1.23,pubchem
CID6971,CID6971,CC(=O)Nc1ccccc1C(=O)O,academic_HTS_hit,179.17,1.34,pubchem
CID8274,CID8274,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,academic_HTS_hit,244.25,0.87,pubchem
CID66160,CID66160,CC1(c2ccccc2)C(=O)NC(=O)NC1=O,academic_HTS_hit,218.21,0.31,pubchem
CID7011,CID7011,CCC(C(N)=O)c1ccccc1,academic_HTS_hit,163.22,1.67,pubchem
CID121397,CID121397,O=C1CC(c2ccccc2)CN1,academic_HTS_hit,161.2,1.29,pubchem
CID5281143,CID5281143,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)CNC(=O)/C(=C/c2ccccc2)N(C)C1=O,academic_HTS_hit,414.51,0.99,pubchem
CID67535,CID67535,CC(C)N1C(=O)c2ccccc2C1=O,academic_HTS_hit,189.21,1.69,pubchem
CID25354,CID25354,CCCNC(=O)c1ccccc1,academic_HTS_hit,163.22,1.83,pubchem
CID4402710,CID4402710,O=C([O-])CNC(=O)c1ccccc1,academic_HTS_hit,178.17,-0.83,pubchem
CID5362118,CID5362118,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,academic_HTS_hit,441.53,-0.41,pubchem
CID22887897,CID22887897,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O,academic_HTS_hit,423.51,0.41,pubchem
CID9376,CID9376,O=C(CCCl)NCCc1ccccc1,academic_HTS_hit,211.69,1.97,pubchem
CID6917719,CID6917719,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,academic_HTS_hit,384.43,-0.52,pubchem
CID640021,CID640021,C[C@@]1(c2ccccc2)NC(=O)NC1=O,academic_HTS_hit,190.2,0.74,pubchem
CID107921,CID107921,CC[C@@]1(c2ccccc2)NC(=O)N(C)C1=O,academic_HTS_hit,218.26,1.47,pubchem
CID895546,CID895546,O=C(NC(=S)NC1CCCCC1)c1ccccc1,academic_HTS_hit,262.38,2.62,pubchem
CID1002,CID1002,O=C1NC(=O)C(c2ccccc2)N1,academic_HTS_hit,176.18,0.57,pubchem
CID194777,CID194777,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)NO)CC(C)C,academic_HTS_hit,349.43,1.02,pubchem
CID2000,CID2000,CC(=O)NC(Cc1ccccc1)C(=O)O,academic_HTS_hit,207.23,0.82,pubchem
CID123742,CID123742,O=C(O)CCNC(=O)C(CS)Cc1ccccc1,academic_HTS_hit,267.35,1.37,pubchem
CID5464097,CID5464097,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,academic_HTS_hit,402.49,2.29,pubchem
CID5486715,CID5486715,O=C(O)CCNC(=O)[C@H](Cc1ccccc1)N[C@@H](Cc1ccccc1)C(=O)O,academic_HTS_hit,384.43,1.47,pubchem
CID3457,CID3457,CCOCn1c(Cc2cc(C)cc(C)c2)c(C(C)C)c(=O)[nH]c1=O,academic_HTS_hit,330.43,2.86,pubchem
CID4124851,CID4124851,Cn1sc(=O)n(Cc2ccccc2)c1=O,academic_HTS_hit,222.27,0.66,pubchem
CID5464344,CID5464344,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,academic_HTS_hit,377.4,0.4,pubchem
CID16656685,CID16656685,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,academic_HTS_hit,291.31,-0.57,pubchem
CID152323,CID152323,O=C(O)CNC(=O)CCc1ccccc1,academic_HTS_hit,207.23,0.82,pubchem
CID70143,CID70143,CC(=O)NCCc1ccccc1,academic_HTS_hit,163.22,1.37,pubchem
CID122267,CID122267,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,academic_HTS_hit,416.53,-0.45,pubchem
CID123982,CID123982,C[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1)C(=O)O,academic_HTS_hit,294.31,0.33,pubchem
CID5485193,CID5485193,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O.Cl,academic_HTS_hit,441.91,1.3,pubchem
CID72946782,CID72946782,CCOC(=O)NCCCC(=O)NCCc1ccccc1,academic_HTS_hit,278.35,1.87,pubchem
CID91480,CID91480,CCC1(c2ccccc2)NC(=O)NC1=O,academic_HTS_hit,204.23,1.13,pubchem
CID640429,CID640429,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],academic_HTS_hit,333.39,-0.47,pubchem
CID9886079,CID9886079,CC1(C)CCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O,academic_HTS_hit,378.49,1.89,pubchem
CID65926,CID65926,NCC1CC(=O)N(Cc2ccccc2)C1,academic_HTS_hit,204.27,0.99,pubchem
CID6993090,CID6993090,N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,academic_HTS_hit,312.37,1.37,pubchem
CID122296,CID122296,CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)B(O)O,academic_HTS_hit,460.34,-1.72,pubchem
CID6992304,CID6992304,N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O,academic_HTS_hit,222.24,-0.24,pubchem
CID65673,CID65673,O=C1NC(=O)C2(N1)c1cc(F)ccc1-c1ccc(F)cc12,academic_HTS_hit,286.24,2.03,pubchem
CID56260,CID56260,O=C1CC[C@H](NC(=O)Cc2ccccc2)C(=O)N1,academic_HTS_hit,246.27,0.15,pubchem
CID71475145,CID71475145,C=C=CCNC(=O)c1ccc(F)cc1,academic_HTS_hit,191.2,1.9,pubchem
CID111299,CID111299,N[C@@H](CCC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)O,academic_HTS_hit,294.31,-0.01,pubchem
CID10634426,CID10634426,COC[C@H](NC(C)=O)C(=O)NCc1ccccc1,academic_HTS_hit,250.3,0.45,pubchem
CID23649427,CID23649427,CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,academic_HTS_hit,334.72,2.6,pubchem
CID5464096,CID5464096,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,academic_HTS_hit,388.46,1.9,pubchem
CID24415,CID24415,CCNCC(=O)Nc1c(C)cccc1C,academic_HTS_hit,206.29,1.85,pubchem
CID91649,CID91649,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,academic_HTS_hit,292.21,2.32,pubchem
CID54684141,CID54684141,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,academic_HTS_hit,270.21,3.0,pubchem
CID38945,CID38945,Cc1cccc(C)c1NC(=O)C(C)N,academic_HTS_hit,192.26,1.59,pubchem
CID66070,CID66070,Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl,academic_HTS_hit,282.81,3.15,pubchem
CID92163,CID92163,CCCNC(C)C(=O)Nc1ccccc1C.Cl,academic_HTS_hit,256.78,2.74,pubchem
CID92253,CID92253,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,academic_HTS_hit,288.44,3.9,pubchem
CID60511,CID60511,CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1,academic_HTS_hit,268.36,2.22,pubchem
CID4062,CID4062,Cc1cccc(C)c1NC(=O)C1CCCCN1C,academic_HTS_hit,246.35,2.73,pubchem
CID175805,CID175805,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,academic_HTS_hit,274.41,3.51,pubchem
CID2746,CID2746,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,academic_HTS_hit,269.3,2.48,pubchem
CID1853,CID1853,O=c1[nH]c2ccccc2c2ccccc12,academic_HTS_hit,195.22,2.68,pubchem
CID6314,CID6314,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl,academic_HTS_hit,270.8,3.01,pubchem
CID37497,CID37497,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,academic_HTS_hit,276.42,3.75,pubchem
CID6992310,CID6992310,CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,academic_HTS_hit,278.35,1.17,pubchem
CID54676478,CID54676478,CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,academic_HTS_hit,308.34,2.52,pubchem
CID108173,CID108173,Cc1cccc(C)c1NC(=O)C(C)N.Cl,academic_HTS_hit,228.72,2.01,pubchem
CID9212,CID9212,C1=Cc2ccccc2Nc2ccccc21,academic_HTS_hit,193.25,3.91,pubchem
CID27833,CID27833,CCOC(=O)N1c2ccccc2C=CC1OCC,academic_HTS_hit,247.29,3.04,pubchem
CID4906,CID4906,CCCNC(C)C(=O)Nc1ccccc1C,academic_HTS_hit,220.32,2.32,pubchem
CID443387,CID443387,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O,academic_HTS_hit,389.48,1.41,pubchem
CID3194,CID3194,O=c1c2ccccc2[se]n1-c1ccccc1,academic_HTS_hit,274.18,2.05,pubchem
CID67095330,CID67095330,O=C(NC1CC1)C(=O)C(Cc1ccccc1)NC(=O)[C@H]1CCC(=O)N1Cc1ccccc1,academic_HTS_hit,433.51,1.75,pubchem
CID4342,CID4342,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,academic_HTS_hit,277.37,1.72,pubchem
CID21307,CID21307,CC1=C(C(=O)Nc2ccccc2)SCCO1,academic_HTS_hit,235.31,2.62,pubchem
CID3676,CID3676,CCN(CC)CC(=O)Nc1c(C)cccc1C,academic_HTS_hit,234.34,2.58,pubchem
CID2554,CID2554,NC(=O)N1c2ccccc2C=Cc2ccccc21,academic_HTS_hit,236.27,3.39,pubchem
CID5311,CID5311,O=C(CCCCCCC(=O)Nc1ccccc1)NO,academic_HTS_hit,264.32,2.47,pubchem
CID2148,CID2148,Nc1ccc(C(=O)NCC(=O)O)cc1,academic_HTS_hit,194.19,0.08,pubchem
CID24685,CID24685,CC(C)OC(=O)Nc1ccccc1,academic_HTS_hit,179.22,2.64,pubchem
CID2018,CID2018,CC(=O)Nc1ccc(CC(=O)O)cc1,academic_HTS_hit,193.2,1.27,pubchem
CID3397,CID3397,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,academic_HTS_hit,276.21,3.21,pubchem
CID25022340,CID25022340,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,academic_HTS_hit,561.73,2.62,pubchem
CID25215428,CID25215428,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,academic_HTS_hit,325.37,2.09,pubchem
CID34312,CID34312,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,academic_HTS_hit,252.27,2.64,pubchem
CID4616,CID4616,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,academic_HTS_hit,286.72,2.45,pubchem
CID5897,CID5897,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,academic_HTS_hit,223.27,3.22,pubchem
CID40632,CID40632,Cc1ccc(=O)n(-c2ccccc2)c1,academic_HTS_hit,185.23,2.15,pubchem
CID3845,CID3845,O=C(O)c1cc(=O)c2ccccc2[nH]1,academic_HTS_hit,189.17,1.23,pubchem
CID64048,CID64048,O=c1[nH]c(=O)c2ccccc2[nH]1,academic_HTS_hit,162.15,0.22,pubchem
CID68144,CID68144,O=C(O)CNC(=O)Cc1ccccc1,academic_HTS_hit,193.2,0.43,pubchem
CID2883,CID2883,CC=CC(=O)N(CC)c1ccccc1C,academic_HTS_hit,203.28,2.92,pubchem
CID136025899,CID136025899,CNC(=O)c1cnc2c(=O)[nH]c(N)nc2n1,BH4_analog,220.19,-1.35,pubchem
CID11806996,CID11806996,CCC(=O)c1cnc2c(n1)c(=O)n(C)c(=O)n2C,BH4_analog,248.24,-0.38,pubchem
