compound_id,safe_id,smiles,category,mw,logp,source
CID21911623,CID21911623,Cc1ccnc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)c1,academic_HTS_hit,358.85,4.8,pubchem
CID21911645,CID21911645,Cc1cccc(C)c1NC(=O)c1cnc(Nc2cccnn2)s1,academic_HTS_hit,325.4,3.55,pubchem
CID22282339,CID22282339,Cc1cc(C)cc(-c2nc(NC(=O)c3cccnc3)sc2-c2ccncc2)c1,academic_HTS_hit,386.48,5.14,pubchem
CID23634171,CID23634171,C#CCNc1ccnc2sc3c(=O)n(-c4ccc(Cl)cc4)cnc3c12,academic_HTS_hit,366.83,3.69,pubchem
CID5327096,CID5327096,CC(C)c1cnc(NC(=O)Cc2cccnc2)s1,academic_HTS_hit,261.35,2.84,pubchem
CID53329709,CID53329709,O=C(Nc1ccc(-c2ccccn2)s1)c1nc(C2CC2)ccc1Nc1cncnc1,academic_HTS_hit,414.49,4.87,pubchem
CID54761301,CID54761301,O=C(Nc1sccc1C(=O)N1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1,academic_HTS_hit,450.52,3.28,pubchem
CID66575082,CID66575082,CC#Cc1cncc(-c2cc(Cl)c([C@]3(C)CC(=O)N(C)C(N)=N3)s2)c1,academic_HTS_hit,372.88,3.23,pubchem
CID90153688,CID90153688,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1ccccc1S(C)(=O)=O,academic_HTS_hit,415.45,2.87,pubchem
CID91933875,CID91933875,C[C@H](c1ccccc1)N1c2cc(-n3c(=O)[nH]c4ncccc43)ccc2C(=O)NC1(C)C,academic_HTS_hit,413.48,3.76,pubchem
CID118409668,CID118409668,CC1(C)NC(=O)c2ccc(-n3c(=O)[nH]c4ncccc43)cc2N1Cc1ccccc1,academic_HTS_hit,399.45,3.2,pubchem
CID132585205,CID132585205,CN1CCN(C(=O)C(C)(C)c2ccc(C(=O)Nc3cn4cc(-c5ccncc5)ccc4n3)cc2)CC1,academic_HTS_hit,482.59,3.7,pubchem
CID135905416,CID135905416,Cc1cc(N2C[C@@H](C)N[C@@H](C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1,academic_HTS_hit,428.54,3.49,pubchem
CID748028,CID748028,O=C(Nc1c(-c2ccccc2)nc2ccccn12)c1ccccc1,academic_HTS_hit,313.36,4.25,pubchem
CID4325210,CID4325210,CCCN1CCc2c(sc3nc(SC)n(-c4ccccc4)c(=O)c23)C1,academic_HTS_hit,371.53,3.94,pubchem
CID1712,CID1712,O=C1N=c2ccc3ncsc3c2=C1CNc1ccc(S(=O)(=O)Nc2ccccn2)cc1,academic_HTS_hit,449.52,1.91,pubchem
CID8271,CID8271,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,academic_HTS_hit,246.27,1.04,pubchem
